format=1 tracks=8 division=240

BA   20   CR         3   TR  6   CH  4   NT  Bb            4/5
BA   20   CR         3   TR  6   CH  4   NT  F             4/5
BA   20   CR     3+2/3   TR  1   CH 10   NT  E--          4/15
BA   20   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   21   CR         0   TR  1   CH 10   NT  C--           4/5
BA   21   CR         0   TR  2   CH  1   NT  C-            2/5
BA   21   CR         0   TR  4   CH  3   NT  C'            2/5
BA   21   CR         0   TR  6   CH  4   NT  C'            2/5
BA   21   CR         0   TR  6   CH  4   NT  G             2/5
BA   21   CR         0   TR  6   CH  4   NT  E             2/5
BA   21   CR         0   TR  6   CH  4   NT  C             2/5
BA   21   CR         1   TR  1   CH 10   NT  E--           4/5
BA   21   CR         1   TR  4   CH  3   NT  D'            4/5
BA   21   CR         1   TR  6   CH  4   NT  E             4/5
BA   21   CR         1   TR  6   CH  4   NT  G             4/5
BA   21   CR         1   TR  6   CH  4   NT  C'            4/5
BA   21   CR         1   TR  6   CH  4   NT  C             4/5
BA   21   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   21   CR   1+23/24   TR  2   CH  1   NT  C-            2/5
BA   21   CR         2   TR  1   CH 10   NT  C--          8/15
BA   21   CR         2   TR  4   CH  3   NT  E'            3/5
BA   21   CR         2   TR  6   CH  4   NT  C             2/5
BA   21   CR         2   TR  6   CH  4   NT  C'            2/5
BA   21   CR         2   TR  6   CH  4   NT  E             2/5
BA   21   CR         2   TR  6   CH  4   NT  G             2/5
BA   21   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   21   CR     2+3/4   TR  4   CH  3   NT  F'            1/5
BA   21   CR         3   TR  1   CH 10   NT  E--           4/5
BA   21   CR         3   TR  4   CH  3   NT  G'            2/5
BA   21   CR         3   TR  6   CH  4   NT  C'            4/5
BA   21   CR         3   TR  6   CH  4   NT  G             4/5
BA   21   CR         3   TR  6   CH  4   NT  E             4/5
BA   21   CR         3   TR  6   CH  4   NT  C             4/5
BA   21   CR   3+17/24   TR  2   CH  1   NT  C-           4/15

BA   22   CR         0   TR  1   CH 10   NT  C--           4/5
BA   22   CR         0   TR  2   CH  1   NT  Bb--          2/5
BA   22   CR         0   TR  4   CH  3   NT  F'            2/5
BA   22   CR         0   TR  6   CH  4   NT  Bb            2/5
BA   22   CR         0   TR  6   CH  4   NT  F             2/5
BA   22   CR         0   TR  6   CH  4   NT  Bb-           2/5
BA   22   CR         0   TR  6   CH  4   NT  D             2/5
BA   22   CR         1   TR  1   CH 10   NT  E--           4/5
BA   22   CR         1   TR  4   CH  3   NT  D'            4/5
BA   22   CR         1   TR  6   CH  4   NT  Bb            4/5
BA   22   CR         1   TR  6   CH  4   NT  F             4/5
BA   22   CR         1   TR  6   CH  4   NT  D             4/5
BA   22   CR         1   TR  6   CH  4   NT  Bb-           4/5
BA   22   CR     1+5/8   TR  2   CH  1   NT  Bb--         4/15
BA   22   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   22   CR         2   TR  1   CH 10   NT  C--          8/15
BA   22   CR         2   TR  4   CH  3   NT  Bb        113/240
BA   22   CR         2   TR  6   CH  4   NT  D             2/5
BA   22   CR         2   TR  6   CH  4   NT  Bb-           2/5
BA   22   CR         2   TR  6   CH  4   NT  Bb            2/5
BA   22   CR         2   TR  6   CH  4   NT  F             2/5
BA   22   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   22   CR         3   TR  1   CH 10   NT  E--           4/5
BA   22   CR         3   TR  4   CH  3   NT  G             4/5
BA   22   CR         3   TR  6   CH  4   NT  D             4/5
BA   22   CR         3   TR  6   CH  4   NT  Bb-           4/5
BA   22   CR         3   TR  6   CH  4   NT  F             4/5
BA   22   CR         3   TR  6   CH  4   NT  Bb            4/5
BA   22   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   23   CR         0   TR  1   CH 10   NT  C--           4/5
BA   23   CR         0   TR  2   CH  1   NT  C-            2/5
BA   23   CR         0   TR  4   CH  3   NT  C'            4/5
BA   23   CR         0   TR  6   CH  4   NT  C'            2/5
BA   23   CR         0   TR  6   CH  4   NT  E             2/5
BA   23   CR         0   TR  6   CH  4   NT  G             2/5
BA   23   CR         0   TR  6   CH  4   NT  C             2/5
BA   23   CR         1   TR  1   CH 10   NT  E--           4/5
BA   23   CR         1   TR  6   CH  4   NT  G             4/5
BA   23   CR         1   TR  6   CH  4   NT  E             4/5
BA   23   CR         1   TR  6   CH  4   NT  C             4/5
BA   23   CR         1   TR  6   CH  4   NT  C'            4/5
BA   23   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   23   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   23   CR         2   TR  1   CH 10   NT  C--          8/15
BA   23   CR         2   TR  6   CH  4   NT  Bb            2/5
BA   23   CR         2   TR  6   CH  4   NT  Bb-           2/5
BA   23   CR         2   TR  6   CH  4   NT  F             2/5
BA   23   CR         2   TR  6   CH  4   NT  D             2/5
BA   23   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   23   CR         3   TR  1   CH 10   NT  E--           4/5
BA   23   CR         3   TR  6   CH  4   NT  F             4/5
BA   23   CR         3   TR  6   CH  4   NT  D             4/5
BA   23   CR         3   TR  6   CH  4   NT  Bb            4/5
BA   23   CR         3   TR  6   CH  4   NT  Bb-           4/5
BA   23   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   24   CR         0   TR  1   CH 10   NT  C--           4/5
BA   24   CR         0   TR  2   CH  1   NT  C-            2/5
BA   24   CR         0   TR  6   CH  4   NT  C'            2/5
BA   24   CR         0   TR  6   CH  4   NT  E             2/5
BA   24   CR         0   TR  6   CH  4   NT  G             2/5
BA   24   CR         0   TR  6   CH  4   NT  C             2/5
BA   24   CR         1   TR  1   CH 10   NT  E--           4/5
BA   24   CR         1   TR  6   CH  4   NT  E             4/5
BA   24   CR         1   TR  6   CH  4   NT  C             4/5
BA   24   CR         1   TR  6   CH  4   NT  G             4/5
BA   24   CR         1   TR  6   CH  4   NT  C'            4/5
BA   24   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   24   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   24   CR         2   TR  1   CH 10   NT  E--          8/15
BA   24   CR         2   TR  6   CH  4   NT  F             2/5
BA   24   CR         2   TR  6   CH  4   NT  Bb-           2/5
BA   24   CR         2   TR  6   CH  4   NT  Bb            2/5
BA   24   CR         2   TR  6   CH  4   NT  D             2/5
BA   24   CR     2+2/3   TR  1   CH 10   NT  E--          4/15
BA   24   CR         3   TR  1   CH 10   NT  E--          8/15
BA   24   CR         3   TR  6   CH  4   NT  F             4/5
BA   24   CR         3   TR  6   CH  4   NT  Bb-           4/5
BA   24   CR         3   TR  6   CH  4   NT  Bb            4/5
BA   24   CR         3   TR  6   CH  4   NT  D             4/5
BA   24   CR     3+2/3   TR  1   CH 10   NT  E--          4/15
BA   24   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   25   CR         0   TR  1   CH 10   NT  C--           4/5
BA   25   CR         0   TR  2   CH  1   NT  F-            2/5
BA   25   CR         0   TR  3   CH  2   NT  B'            4/5
BA   25   CR         0   TR  5   CH  5   NT  F'             16   von=90
