format=1 tracks=17 division=960

BA   17   CR    1+7/10   TR  2   CH 10   Channel volume 114
BA   17   CR     1+4/5   TR  1   CH  1   Channel volume 113
BA   17   CR     1+4/5   TR  2   CH 10   Channel volume 113
BA   17   CR    1+9/10   TR  1   CH  1   Channel volume 112
BA   17   CR    1+9/10   TR  2   CH 10   Channel volume 112
BA   17   CR         2   TR  1   CH  1   NT  B#--          1/2
BA   17   CR         2   TR  2   CH 10   NT  B#---         1/2
BA   17   CR         2   TR  2   CH 10   NT  F#--          1/2
BA   17   CR    2+1/10   TR  1   CH  1   Channel volume 111
BA   17   CR    2+1/10   TR  2   CH 10   Channel volume 111
BA   17   CR     2+1/5   TR  1   CH  1   Channel volume 110
BA   17   CR     2+1/5   TR  2   CH 10   Channel volume 110
BA   17   CR    2+3/10   TR  1   CH  1   Channel volume 109
BA   17   CR    2+3/10   TR  2   CH 10   Channel volume 109
BA   17   CR     2+2/5   TR  1   CH  1   Channel volume 108
BA   17   CR     2+2/5   TR  2   CH 10   Channel volume 108
BA   17   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA   17   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA   17   CR     2+3/5   TR  1   CH  1   Channel volume 107
BA   17   CR     2+3/5   TR  2   CH 10   Channel volume 107
BA   17   CR    2+7/10   TR  1   CH  1   Channel volume 106
BA   17   CR    2+7/10   TR  2   CH 10   Channel volume 106
BA   17   CR     2+4/5   TR  1   CH  1   Channel volume 105
BA   17   CR     2+4/5   TR  2   CH 10   Channel volume 105
BA   17   CR    2+9/10   TR  1   CH  1   Channel volume 104
BA   17   CR    2+9/10   TR  2   CH 10   Channel volume 104
BA   17   CR         3   TR  1   CH  1   NT  F#''          1/2
BA   17   CR         3   TR  1   CH  1   NT  G#''          1/2
BA   17   CR         3   TR  2   CH 10   NT  C#--          1/2
BA   17   CR         3   TR  2   CH 10   NT  F#--          1/2
BA   17   CR    3+1/10   TR  1   CH  1   Channel volume 103
BA   17   CR    3+1/10   TR  2   CH 10   Channel volume 103
BA   17   CR     3+1/5   TR  1   CH  1   Channel volume 102
BA   17   CR     3+1/5   TR  2   CH 10   Channel volume 102
BA   17   CR    3+3/10   TR  1   CH  1   Channel volume 101
BA   17   CR    3+3/10   TR  2   CH 10   Channel volume 101
BA   17   CR     3+1/2   TR  1   CH  1   Channel volume 100
BA   17   CR     3+1/2   TR  2   CH 10   Channel volume 100
BA   17   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2
BA   17   CR     3+3/5   TR  1   CH  1   Channel volume 99
BA   17   CR     3+3/5   TR  2   CH 10   Channel volume 99
BA   17   CR    3+7/10   TR  1   CH  1   Channel volume 98
BA   17   CR    3+7/10   TR  2   CH 10   Channel volume 98
