format=1 tracks=11 division=96

BA    2   CR     3+1/2   TR  6   CH 10   NT  D--         23/96   voff=0
BA    2   CR     3+1/2   TR  9   CH 10   NT  E--         11/96   voff=0
BA    2   CR     3+1/2   TR 10   CH 10   NT  C--         11/96   voff=0
BA    2   CR     3+2/3   TR  9   CH 10   NT  E--         11/96   voff=0
BA    2   CR     3+2/3   TR 10   CH 10   NT  C--         11/96   voff=0
BA    2   CR     3+5/6   TR  9   CH 10   NT  E--         11/96   voff=0
BA    2   CR     3+5/6   TR 10   CH 10   NT  C--         11/96   voff=0

BA    3   CR         0   TR  2   CH  4   NT  B-          47/96   von=101   voff=0
BA    3   CR         0   TR  3   CH  5   NT  B           47/96   von=100   voff=0
BA    3   CR         0   TR  4   CH  6   NT  B           47/96   von=101   voff=0
BA    3   CR         0   TR  5   CH  1   NT  B--         47/96   von=96   voff=0
BA    3   CR         0   TR  6   CH 10   NT  D--         47/96   voff=0
BA    3   CR         0   TR  7   CH  2   NT  F#---       47/96   voff=0
BA    3   CR         0   TR  9   CH 10   NT  E--         11/96   von=100   voff=0
BA    3   CR         0   TR 10   CH 10   NT  C--         11/96   von=90   voff=0
BA    3   CR       1/4   TR  8   CH 10   NT  B-          11/96   voff=0
BA    3   CR       1/2   TR  1   CH  3   NT  F#          47/96   von=100   voff=0
BA    3   CR       1/2   TR  4   CH  6   NT  B           47/96   von=91   voff=0
BA    3   CR       1/2   TR  5   CH  1   NT  B--         95/96   voff=0
BA    3   CR       1/2   TR  6   CH 10   NT  D--         23/96   voff=0
BA    3   CR       1/2   TR  7   CH  2   NT  B---        47/96   voff=0
BA    3   CR       1/2   TR  9   CH 10   NT  E--         11/96   von=85   voff=0
BA    3   CR       1/2   TR 10   CH 10   NT  C--         11/96   von=80   voff=0
BA    3   CR       3/4   TR  6   CH 10   NT  D--         23/96   voff=0
BA    3   CR       3/4   TR  9   CH 10   NT  E--         11/96   voff=0
BA    3   CR       3/4   TR 10   CH 10   NT  C--         11/96   voff=0
BA    3   CR         1   TR  1   CH  3   NT  B           47/96   voff=0
BA    3   CR         1   TR  2   CH  4   NT  B-          47/96   voff=0
BA    3   CR         1   TR  3   CH  5   NT  B           47/96   von=88   voff=0
BA    3   CR         1   TR  4   CH  6   NT  B           47/96   von=82   voff=0
BA    3   CR         1   TR  6   CH 10   NT  D--         47/96   voff=0
BA    3   CR         1   TR  7   CH  2   NT  F#---       47/96   voff=0
BA    3   CR         1   TR  9   CH 10   NT  E--         11/96   von=100   voff=0
