format=0 tracks=1 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "untitled"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Lewis Wall"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 55
BA    1   CR   2+31/60   TR  0   CH  2   Channel volume 80
BA    1   CR   2+31/60   TR  0   CH  2   ST &B1 &0B &42
BA    1   CR    2+8/15   TR  0   CH  1   ST &B0 &0B &4D
BA    1   CR    2+8/15   TR  0   CH  2   Channel volume 81
BA    1   CR    2+8/15   TR  0   CH  2   ST &B1 &0B &43
BA    1   CR   2+11/20   TR  0   CH  2   Channel volume 82
BA    1   CR   2+17/30   TR  0   CH  1   ST &B0 &0B &4E
BA    1   CR   2+17/30   TR  0   CH  2   Channel volume 83
BA    1   CR   2+17/30   TR  0   CH  2   ST &B1 &0B &44
BA    1   CR    2+7/12   TR  0   CH  1   ST &B0 &0B &4F
BA    1   CR    2+7/12   TR  0   CH  2   Channel volume 84
BA    1   CR    2+7/12   TR  0   CH  2   ST &B1 &0B &45
BA    1   CR     2+3/5   TR  0   CH  2   Channel volume 86
BA    1   CR   2+37/60   TR  0   CH  1   ST &B0 &0B &50
BA    1   CR   2+37/60   TR  0   CH  2   Channel volume 87
BA    1   CR   2+37/60   TR  0   CH  2   ST &B1 &0B &46
BA    1   CR   2+19/30   TR  0   CH  1   ST &B0 &0B &51
BA    1   CR   2+19/30   TR  0   CH  2   Channel volume 88
BA    1   CR   2+19/30   TR  0   CH  2   ST &B1 &0B &47
BA    1   CR   2+13/20   TR  0   CH  2   Channel volume 89
BA    1   CR     2+2/3   TR  0   CH  1   ST &B0 &0B &52
BA    1   CR     2+2/3   TR  0   CH  2   Channel volume 90
BA    1   CR     2+2/3   TR  0   CH  2   ST &B1 &0B &48
BA    1   CR   2+41/60   TR  0   CH  1   ST &B0 &0B &53
BA    1   CR   2+41/60   TR  0   CH  2   Channel volume 91
BA    1   CR   2+41/60   TR  0   CH  2   ST &B1 &0B &49
BA    1   CR    2+7/10   TR  0   CH  2   Channel volume 93
BA    1   CR   2+43/60   TR  0   CH  1   ST &B0 &0B &54
BA    1   CR   2+43/60   TR  0   CH  2   Channel volume 94
BA    1   CR   2+43/60   TR  0   CH  2   ST &B1 &0B &4A
BA    1   CR   2+11/15   TR  0   CH  1   ST &B0 &0B &55
BA    1   CR   2+11/15   TR  0   CH  2   Channel volume 95
BA    1   CR   2+11/15   TR  0   CH  2   ST &B1 &0B &4B
BA    1   CR     2+3/4   TR  0   CH  1   NT  C             1/4
BA    1   CR     2+3/4   TR  0   CH  2   Channel volume 96
BA    1   CR     2+3/4   TR  0   CH  2   NT  B-            1/4
BA    1   CR   2+23/30   TR  0   CH  1   ST &B0 &0B &56
BA    1   CR   2+23/30   TR  0   CH  2   Channel volume 97
BA    1   CR   2+23/30   TR  0   CH  2   ST &B1 &0B &4C
BA    1   CR   2+47/60   TR  0   CH  1   ST &B0 &0B &57
BA    1   CR   2+47/60   TR  0   CH  2   Channel volume 98
BA    1   CR   2+47/60   TR  0   CH  2   ST &B1 &0B &4D
BA    1   CR     2+4/5   TR  0   CH  2   Channel volume 100
BA    1   CR   2+49/60   TR  0   CH  1   ST &B0 &0B &58
BA    1   CR   2+49/60   TR  0   CH  2   Channel volume 101
BA    1   CR   2+49/60   TR  0   CH  2   ST &B1 &0B &4E
BA    1   CR     2+5/6   TR  0   CH  1   ST &B0 &0B &59
BA    1   CR     2+5/6   TR  0   CH  2   Channel volume 102
BA    1   CR     2+5/6   TR  0   CH  2   ST &B1 &0B &4F
BA    1   CR   2+17/20   TR  0   CH  2   Channel volume 103
BA    1   CR   2+13/15   TR  0   CH  1   ST &B0 &0B &5A
BA    1   CR   2+13/15   TR  0   CH  2   Channel volume 104
BA    1   CR   2+13/15   TR  0   CH  2   ST &B1 &0B &50
BA    1   CR   2+53/60   TR  0   CH  1   ST &B0 &0B &5B
BA    1   CR   2+53/60   TR  0   CH  2   Channel volume 105
BA    1   CR   2+53/60   TR  0   CH  2   ST &B1 &0B &51
BA    1   CR    2+9/10   TR  0   CH  2   Channel volume 107
BA    1   CR   2+11/12   TR  0   CH  1   ST &B0 &0B &5C
BA    1   CR   2+11/12   TR  0   CH  2   Channel volume 108
BA    1   CR   2+11/12   TR  0   CH  2   ST &B1 &0B &52
BA    1   CR   2+14/15   TR  0   CH  1   ST &B0 &0B &5D
BA    1   CR   2+14/15   TR  0   CH  2   Channel volume 109
BA    1   CR   2+14/15   TR  0   CH  2   ST &B1 &0B &53
BA    1   CR   2+19/20   TR  0   CH  2   Channel volume 110
BA    1   CR   2+29/30   TR  0   CH  1   ST &B0 &0B &5E
BA    1   CR   2+29/30   TR  0   CH  2   Channel volume 111
BA    1   CR   2+29/30   TR  0   CH  2   ST &B1 &0B &54
BA    1   CR   2+59/60   TR  0   CH  1   ST &B0 &0B &5F
BA    1   CR   2+59/60   TR  0   CH  2   Channel volume 112
BA    1   CR   2+59/60   TR  0   CH  2   ST &B1 &0B &55
BA    1   CR         3   TR  0   CH  1   ST &B0 &0B &60
BA    1   CR         3   TR  0   CH  1   NT  Eb            1/4
BA    1   CR         3   TR  0   CH  2   Channel volume 114
BA    1   CR         3   TR  0   CH  2   NT  C             1/4
BA    1   CR    3+1/60   TR  0   CH  2   ST &B1 &0B &56
BA    1   CR    3+1/30   TR  0   CH  1   ST &B0 &0B &5F
BA    1   CR    3+1/30   TR  0   CH  2   Channel volume 113
BA    1   CR    3+1/30   TR  0   CH  2   ST &B1 &0B &57
BA    1   CR    3+1/15   TR  0   CH  1   ST &B0 &0B &5E
