format=1 tracks=9 division=96

BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 127
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   NT  C--         23/96   von=99   voff=99
BA    1   CR         0   TR  8   CH 16   Text type 3: "VGMusic.com!  XD""
BA    1   CR         0   TR  8   CH 16   ST &BF &0A &40
BA    1   CR         0   TR  8   CH 16   Channel volume 100
BA    1   CR         0   TR  8   CH 16   ST &EF &00 &40
BA    1   CR         0   TR  8   CH 16   ST &BF &65 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &64 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR  8   CH 16   ST &BF &0A &40
BA    1   CR         0   TR  8   CH 16   Channel volume 100
BA    1   CR         0   TR  8   CH 16   ST &EF &00 &40
BA    1   CR         0   TR  8   CH 16   ST &BF &65 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &64 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR  8   CH 16   ST &BF &0A &40
BA    1   CR         0   TR  8   CH 16   Channel volume 100
BA    1   CR         0   TR  8   CH 16   ST &EF &00 &40
BA    1   CR         0   TR  8   CH 16   ST &BF &65 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &64 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR  8   CH 16   ST &BF &0A &40
BA    1   CR         0   TR  8   CH 16   Channel volume 100
BA    1   CR         0   TR  8   CH 16   ST &EF &00 &40
BA    1   CR      3/16   TR  6   CH  8   NT  G--         35/96   von=99   voff=99
BA    1   CR       1/2   TR  2   CH  2   NT  G           95/96   von=99   voff=99
BA    1   CR       1/2   TR  5   CH  7   NT  G#--        35/96   voff=99
BA    1   CR       1/2   TR  7   CH 10   NT  C--         23/96   voff=99
BA    1   CR     11/16   TR  6   CH  8   NT  G#--        35/96   voff=99
BA    1   CR       3/4   TR  7   CH 10   NT  C--         23/96   voff=99
BA    1   CR         1   TR  1   CH  1   NT  F#          47/96   voff=99
BA    1   CR         1   TR  5   CH  7   NT  G--         35/96   voff=99
BA    1   CR         1   TR  7   CH 10   NT  B---        23/96   voff=99
BA    1   CR    1+3/16   TR  6   CH  8   NT  G--         35/96   voff=99
BA    1   CR     1+1/2   TR  1   CH  1   NT  Eb          11/96   voff=99
BA    1   CR     1+1/2   TR  2   CH  2   NT  F#          47/96   voff=99
BA    1   CR     1+1/2   TR  5   CH  7   NT  G#--        35/96   voff=99
BA    1   CR     1+1/2   TR  7   CH 10   NT  B---        23/96   voff=99
