format=1 tracks=11 division=480

BA    2   CR     13/16   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR     13/16   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR     13/16   TR  4   CH  4   ST &B3 &0B &69
BA    2   CR     13/16   TR  4   CH  4   ST &B3 &0A &5F
BA    2   CR     13/16   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR     13/16   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR     13/16   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR       5/6   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR       5/6   TR  2   CH  2   Channel volume 125
BA    2   CR       5/6   TR  2   CH  2   ST &B1 &0A &27
BA    2   CR       5/6   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR       5/6   TR  4   CH  4   Channel volume 125
BA    2   CR     41/48   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR       7/8   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR       7/8   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR       7/8   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR       7/8   TR  4   CH  4   ST &B3 &0B &6A
BA    2   CR       7/8   TR  4   CH  4   ST &B3 &0A &60
BA    2   CR       7/8   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR       7/8   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR       7/8   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR     43/48   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR     43/48   TR  2   CH  2   Channel volume 125
BA    2   CR     43/48   TR  2   CH  2   ST &B1 &0A &27
BA    2   CR     43/48   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR     43/48   TR  4   CH  4   Channel volume 125
BA    2   CR     11/12   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR     15/16   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR     15/16   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR     15/16   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR     15/16   TR  4   CH  4   ST &B3 &0B &6A
BA    2   CR     15/16   TR  4   CH  4   ST &B3 &0A &60
BA    2   CR     15/16   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR     15/16   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR     15/16   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR     23/24   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR     23/24   TR  2   CH  2   Channel volume 125
BA    2   CR     23/24   TR  2   CH  2   ST &B1 &0A &27
BA    2   CR     23/24   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR     23/24   TR  4   CH  4   Channel volume 125
BA    2   CR     47/48   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR         1   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR         1   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR         1   TR  2   CH  2   NT  F#'          9/40   von=100
BA    2   CR         1   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR         1   TR  4   CH  4   NT  F#'          9/40
BA    2   CR         1   TR  4   CH  4   ST &B3 &0B &6A
BA    2   CR         1   TR  4   CH  4   ST &B3 &0A &61
BA    2   CR         1   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR         1   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR         1   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR    1+1/48   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR    1+1/48   TR  2   CH  2   Channel volume 125
BA    2   CR    1+1/48   TR  2   CH  2   ST &B1 &0A &27
BA    2   CR    1+1/48   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR    1+1/48   TR  4   CH  4   Channel volume 125
BA    2   CR    1+1/24   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR    1+1/16   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR    1+1/16   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR    1+1/16   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR    1+1/16   TR  4   CH  4   ST &B3 &0B &6B
BA    2   CR    1+1/16   TR  4   CH  4   ST &B3 &0A &61
BA    2   CR    1+1/16   TR  4   CH  4   ST &B3 &5E &28
