format=1 tracks=5 division=92

BA    5   CR   1+19/23   TR  2   CH  3   NT  Bb-         10/23
BA    5   CR   1+19/23   TR  3   CH  4   NT  Bb---        5/23
BA    5   CR   1+19/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR    2+1/23   TR  4   CH 10   NT  F#--        10/23
BA    5   CR    2+6/23   TR  1   CH  2   NT  Bb--        10/23
BA    5   CR    2+6/23   TR  2   CH  3   NT  Bb-         10/23
BA    5   CR    2+6/23   TR  3   CH  4   NT  Bb---        5/23
BA    5   CR    2+6/23   TR  4   CH 10   NT  E--       1+17/23
BA    5   CR   2+11/23   TR  3   CH  4   NT  Bb---        5/23
BA    5   CR   2+11/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR   2+16/23   TR  1   CH  2   NT  Bb--        10/23
BA    5   CR   2+16/23   TR  2   CH  3   NT  Bb-         10/23
BA    5   CR   2+16/23   TR  3   CH  4   NT  Bb---        5/23
BA    5   CR   2+16/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR   2+21/23   TR  3   CH  4   NT  Bb---        5/23
BA    5   CR   2+21/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR    3+3/23   TR  1   CH  2   NT  Bb--        10/23
BA    5   CR    3+3/23   TR  2   CH  3   NT  Bb-         10/23
BA    5   CR    3+3/23   TR  3   CH  4   NT  Bb---        5/23
BA    5   CR    3+3/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR    3+8/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR   3+13/23   TR  1   CH  2   NT  Bb--        10/23
BA    5   CR   3+13/23   TR  2   CH  3   NT  Bb-         10/23
BA    5   CR   3+13/23   TR  3   CH  4   NT  Bb---        5/23
BA    5   CR   3+13/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR   3+18/23   TR  4   CH 10   NT  F#--        10/23

BA    6   CR         0   TR  1   CH  2   NT  C#-         20/23
BA    6   CR         0   TR  2   CH  3   NT  F-          20/23
BA    6   CR         0   TR  3   CH  4   NT  B---        20/23
BA    6   CR         0   TR  4   CH 10   NT  E--       1+17/23
BA    6   CR      5/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR     10/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR     15/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR     20/23   TR  1   CH  2   NT  Bb--        10/23
BA    6   CR     20/23   TR  2   CH  3   NT  Bb-         10/23
BA    6   CR     20/23   TR  3   CH  4   NT  Bb---        5/23
BA    6   CR     20/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR    1+2/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR    1+7/23   TR  1   CH  2   NT  Bb--        10/23
BA    6   CR    1+7/23   TR  2   CH  3   NT  Bb-         10/23
BA    6   CR    1+7/23   TR  3   CH  4   NT  Bb---        5/23
BA    6   CR    1+7/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR   1+12/23   TR  4   CH 10   NT  F#--        10/23
BA    6   CR   1+17/23   TR  1   CH  2   NT  Bb--        10/23
BA    6   CR   1+17/23   TR  2   CH  3   NT  Bb-         10/23
BA    6   CR   1+17/23   TR  3   CH  4   NT  Bb---        5/23
BA    6   CR   1+17/23   TR  4   CH 10   NT  E--       1+17/23
BA    6   CR   1+22/23   TR  3   CH  4   NT  Bb---        5/23
BA    6   CR   1+22/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR    2+4/23   TR  1   CH  2   NT  Bb--        10/23
BA    6   CR    2+4/23   TR  2   CH  3   NT  Bb-         10/23
BA    6   CR    2+4/23   TR  3   CH  4   NT  Bb---        5/23
BA    6   CR    2+4/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR    2+9/23   TR  3   CH  4   NT  Bb---        5/23
BA    6   CR    2+9/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR   2+14/23   TR  1   CH  2   NT  Bb--        10/23
BA    6   CR   2+14/23   TR  2   CH  3   NT  Bb-         10/23
BA    6   CR   2+14/23   TR  3   CH  4   NT  Bb---        5/23
BA    6   CR   2+14/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR   2+19/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR    3+1/23   TR  1   CH  2   NT  Bb--        10/23
BA    6   CR    3+1/23   TR  2   CH  3   NT  Bb-         10/23
BA    6   CR    3+1/23   TR  3   CH  4   NT  Bb---        5/23
BA    6   CR    3+1/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR    3+6/23   TR  4   CH 10   NT  F#--        10/23
BA    6   CR   3+11/23   TR  1   CH  2   NT  C#-         20/23
BA    6   CR   3+11/23   TR  2   CH  3   NT  F-          20/23
BA    6   CR   3+11/23   TR  3   CH  4   NT  B---        20/23
BA    6   CR   3+11/23   TR  4   CH 10   NT  E--       1+17/23
BA    6   CR   3+16/23   TR  4   CH 10   NT  F#--         5/23
BA    6   CR   3+21/23   TR  4   CH 10   NT  F#--         5/23

BA    7   CR      3/23   TR  4   CH 10   NT  F#--         5/23
BA    7   CR      8/23   TR  1   CH  2   NT  Bb--        10/23
BA    7   CR      8/23   TR  2   CH  3   NT  Bb-         10/23
BA    7   CR      8/23   TR  3   CH  4   NT  Bb---        5/23
BA    7   CR      8/23   TR  4   CH 10   NT  F#--         5/23
BA    7   CR     13/23   TR  4   CH 10   NT  F#--         5/23
BA    7   CR     18/23   TR  1   CH  2   NT  Bb--        10/23
BA    7   CR     18/23   TR  2   CH  3   NT  Bb-         10/23
BA    7   CR     18/23   TR  3   CH  4   NT  Bb---        5/23
