format=1 tracks=4 division=192

BA    1   CR   3+11/48   TR  2   CH  2   Channel volume 38
BA    1   CR     3+1/4   TR  2   CH  2   Channel volume 37
BA    1   CR   3+17/64   TR  2   CH  2   Channel volume 36
BA    1   CR  3+55/192   TR  2   CH  2   Channel volume 35
BA    1   CR  3+59/192   TR  2   CH  2   Channel volume 34
BA    1   CR   3+31/96   TR  2   CH  2   Channel volume 33
BA    1   CR   3+11/32   TR  2   CH  2   Channel volume 32
BA    1   CR   3+35/96   TR  2   CH  2   Channel volume 31
BA    1   CR  3+73/192   TR  2   CH  2   Channel volume 30
BA    1   CR  3+77/192   TR  2   CH  2   Channel volume 29
BA    1   CR   3+27/64   TR  2   CH  2   Channel volume 28
BA    1   CR    3+7/16   TR  2   CH  2   Channel volume 27
BA    1   CR   3+11/24   TR  2   CH  2   Channel volume 26
BA    1   CR   3+23/48   TR  2   CH  2   Channel volume 25
BA    1   CR     3+1/2   TR  1   CH  1   NT  C#            1/6
BA    1   CR     3+1/2   TR  2   CH  2   Channel volume 127
BA    1   CR     3+1/2   TR  2   CH  2   Channel volume 24
BA    1   CR     3+1/2   TR  3   CH  3   NT  D             1/6

BA    2   CR         0   TR  3   CH  3   NT  G-            1/6
BA    2   CR       1/2   TR  1   CH  1   NT  C#            1/6
BA    2   CR       1/2   TR  2   CH  2   Channel volume 127
BA    2   CR       1/2   TR  2   CH  2   Instrument 60
BA    2   CR       1/2   TR  2   CH  2   Channel volume 127
BA    2   CR       1/2   TR  2   CH  2   NT  D''         47/96
BA    2   CR       1/2   TR  3   CH  3   NT  D             1/6
BA    2   CR         1   TR  2   CH  2   NT  D'''          1/6
BA    2   CR         1   TR  3   CH  3   NT  D-            1/6
BA    2   CR     1+1/2   TR  1   CH  1   NT  C#            1/6
BA    2   CR     1+1/2   TR  2   CH  2   Channel volume 127
BA    2   CR     1+1/2   TR  2   CH  2   NT  D''           1/6
BA    2   CR     1+1/2   TR  3   CH  3   NT  D             1/6
BA    2   CR         2   TR  3   CH  3   NT  G-            1/6
BA    2   CR     2+1/2   TR  1   CH  1   NT  C#            1/6
BA    2   CR     2+1/2   TR  2   CH  2   Channel volume 127
BA    2   CR     2+1/2   TR  2   CH  2   NT  D'''        47/96
BA    2   CR     2+1/2   TR  3   CH  3   NT  D             1/6
BA    2   CR         3   TR  2   CH  2   NT  D''''         1/6
BA    2   CR         3   TR  3   CH  3   NT  D-            1/6
BA    2   CR     3+1/2   TR  1   CH  1   NT  C#            1/6
BA    2   CR     3+1/2   TR  2   CH  2   Channel volume 127
BA    2   CR     3+1/2   TR  2   CH  2   NT  D'''          1/6
BA    2   CR     3+1/2   TR  3   CH  3   NT  D             1/6

BA    3   CR         0   TR  2   CH  2   Instrument 57
BA    3   CR         0   TR  2   CH  2   Channel volume 127
BA    3   CR         0   TR  2   CH  2   NT  F'        1+47/96
BA    3   CR         0   TR  3   CH  3   NT  G#-           1/6
BA    3   CR      1/96   TR  2   CH  2   Channel volume 126
BA    3   CR      1/48   TR  2   CH  2   Channel volume 125
BA    3   CR     7/192   TR  2   CH  2   Channel volume 124
BA    3   CR      3/64   TR  2   CH  2   Channel volume 123
BA    3   CR    11/192   TR  2   CH  2   Channel volume 122
BA    3   CR      7/96   TR  2   CH  2   Channel volume 121
BA    3   CR      1/12   TR  2   CH  2   Channel volume 120
BA    3   CR      3/32   TR  2   CH  2   Channel volume 119
BA    3   CR      7/64   TR  2   CH  2   Channel volume 118
BA    3   CR    23/192   TR  2   CH  2   Channel volume 117
BA    3   CR    25/192   TR  2   CH  2   Channel volume 116
BA    3   CR      7/48   TR  2   CH  2   Channel volume 115
BA    3   CR      5/32   TR  2   CH  2   Channel volume 114
BA    3   CR       1/6   TR  2   CH  2   Channel volume 113
BA    3   CR    35/192   TR  2   CH  2   Channel volume 112
BA    3   CR    37/192   TR  2   CH  2   Channel volume 111
BA    3   CR     13/64   TR  2   CH  2   Channel volume 110
BA    3   CR      7/32   TR  2   CH  2   Channel volume 109
BA    3   CR     11/48   TR  2   CH  2   Channel volume 108
BA    3   CR     23/96   TR  2   CH  2   Channel volume 107
BA    3   CR    49/192   TR  2   CH  2   Channel volume 106
BA    3   CR     17/64   TR  2   CH  2   Channel volume 105
BA    3   CR    53/192   TR  2   CH  2   Channel volume 104
BA    3   CR      7/24   TR  2   CH  2   Channel volume 103
BA    3   CR     29/96   TR  2   CH  2   Channel volume 102
