format=1 tracks=12 division=96

BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 49
BA    1   CR         0   TR  8   CH  8   ST &B7 &02 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &5B &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &78
BA    1   CR         0   TR  8   CH  8   Channel volume 108
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 49
BA    1   CR         0   TR  8   CH  8   ST &B7 &02 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &5B &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &78
BA    1   CR         0   TR  8   CH  8   Channel volume 108
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 49
BA    1   CR         0   TR  8   CH  8   ST &B7 &02 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &5B &00
BA    1   CR         0   TR  9   CH 16   Text type 3: "for those of you following my musical path of damnation.  :D""
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &00
BA    1   CR         0   TR  9   CH  9   Channel volume 113
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   Channel volume 113
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 96
BA    1   CR         0   TR  9   CH  9   ST &B8 &02 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &5B &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   Channel volume 113
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 96
BA    1   CR         0   TR  9   CH  9   ST &B8 &02 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &5B &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   Channel volume 113
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 96
BA    1   CR         0   TR  9   CH  9   ST &B8 &02 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &5B &00
BA    1   CR         0   TR 10   CH 16   Text type 3: "Visit my site, "Music of the Game II:  Café De La Luna" for more MIDI goodness!"
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &38
BA    1   CR         0   TR 10   CH 10   Channel volume 113
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &38
BA    1   CR         0   TR 10   CH 10   Channel volume 113
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 17
BA    1   CR         0   TR 10   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &38
BA    1   CR         0   TR 10   CH 10   Channel volume 113
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 17
BA    1   CR         0   TR 10   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &38
BA    1   CR         0   TR 10   CH 10   Channel volume 113
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 17
BA    1   CR         0   TR 10   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR 10   CH 10   NT  C--         47/96   von=126   voff=126
BA    1   CR         0   TR 11   CH 16   Text type 3: "-=( http://ironfeline.org/motg2 )=-"
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 11   CH 11   Channel volume 100
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 11   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 11   CH 11   Channel volume 100
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 11   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 11   CH 11   Channel volume 100
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 11   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 11   CH 11   Channel volume 100
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR       1/4   TR 10   CH 10   NT  Bb--        47/96   voff=126
BA    1   CR       1/2   TR 10   CH 10   NT  C--         23/96   voff=126
BA    1   CR       3/4   TR 10   CH 10   NT  C--         47/96   voff=126
BA    1   CR         1   TR 10   CH 10   NT  Bb--        47/96   voff=126
BA    1   CR     1+1/4   TR 10   CH 10   NT  C--         47/96   voff=126
BA    1   CR     1+1/2   TR 10   CH 10   NT  Bb--        23/96   voff=126
BA    1   CR     1+3/4   TR 10   CH 10   NT  Bb--        23/96   voff=126
BA    1   CR         2   TR  0   CH 16   Tempo 188
BA    1   CR         2   TR  6   CH  6   NT  Eb-         15/32   von=126   voff=126
BA    1   CR         2   TR  7   CH  7   NT  Eb--        15/32   von=126   voff=126
BA    1   CR         2   TR  8   CH  8   NT  Eb        7+31/32   von=126   voff=126
BA    1   CR         2   TR  9   CH  9   NT  Eb-       7+31/32   von=126   voff=126
BA    1   CR    2+1/96   TR 10   CH 10   NT  C--         15/32   voff=126
