format=1 tracks=4 division=1024

BA   13   CR 3+517/1024   TR  2   CH  2   NT  D'        119/256   von=64   voff=0
BA   13   CR 3+517/1024   TR  3   CH  3   NT  E         119/256   von=64   voff=0
BA   13   CR 3+583/1024   TR  1   CH  1   Channel volume 89

BA   14   CR     1/256   TR  1   CH  1   NT  B       3+935/1024   voff=0
BA   14   CR     1/256   TR  2   CH  2   NT  E'       511/1024   von=69   voff=0
BA   14   CR     1/256   TR  3   CH  3   NT  D       1+25/1024   von=69   voff=0
BA   14   CR    29/128   TR  1   CH  1   Channel volume 90
BA   14   CR  365/1024   TR  1   CH  1   Channel volume 91
BA   14   CR   249/512   TR  1   CH  1   Channel volume 93
BA   14   CR   273/512   TR  2   CH  2   NT  B        477/1024   von=64   voff=0
BA   14   CR  631/1024   TR  1   CH  1   Channel volume 95
BA   14   CR   191/256   TR  1   CH  1   Channel volume 97
BA   14   CR  897/1024   TR  1   CH  1   Channel volume 100
BA   14   CR   1+3/512   TR  1   CH  1   Channel volume 101
BA   14   CR  1+15/512   TR  2   CH  2   NT  G#        237/512   von=65   voff=0
BA   14   CR 1+139/1024   TR  1   CH  1   Channel volume 103
BA   14   CR   1+17/64   TR  1   CH  1   Channel volume 104
BA   14   CR 1+405/1024   TR  1   CH  1   Channel volume 105
BA   14   CR 1+535/1024   TR  2   CH  2   NT  F#       479/1024   von=64   voff=0
BA   14   CR 1+139/256   TR  1   CH  1   Channel volume 106
BA   14   CR 1+685/1024   TR  1   CH  1   Channel volume 105
BA   14   CR 1+943/1024   TR  1   CH  1   Channel volume 104
BA   14   CR 2+21/1024   TR  2   CH  2   NT  E        479/1024   von=67   voff=0
BA   14   CR 2+21/1024   TR  3   CH  3   NT  D         507/512   von=67   voff=0
BA   14   CR    2+3/64   TR  1   CH  1   Channel volume 103
BA   14   CR 2+177/1024   TR  1   CH  1   Channel volume 102
BA   14   CR 2+153/512   TR  1   CH  1   Channel volume 101
BA   14   CR 2+435/1024   TR  1   CH  1   Channel volume 100
BA   14   CR 2+531/1024   TR  2   CH  2   NT  F#        237/512   von=64   voff=0
BA   14   CR 2+693/1024   TR  1   CH  1   Channel volume 98
BA   14   CR 2+411/512   TR  1   CH  1   Channel volume 97
BA   14   CR 2+951/1024   TR  1   CH  1   Channel volume 95
BA   14   CR   3+3/256   TR  2   CH  2   NT  G#        237/512   von=65   voff=0
BA   14   CR   3+3/256   TR  3   CH  3   NT  E       1011/1024   von=65   voff=0
BA   14   CR   3+7/128   TR  1   CH  1   Channel volume 94
BA   14   CR 3+185/1024   TR  1   CH  1   Channel volume 93
BA   14   CR 3+157/512   TR  1   CH  1   Channel volume 92
BA   14   CR 3+443/1024   TR  1   CH  1   Channel volume 91
BA   14   CR 3+517/1024   TR  2   CH  2   NT  B         119/256   von=64   voff=0
BA   14   CR 3+143/256   TR  1   CH  1   Channel volume 90
BA   14   CR 3+701/1024   TR  1   CH  1   Channel volume 89

BA   15   CR     1/256   TR  1   CH  1   NT  A       3+935/1024   voff=0
BA   15   CR     1/256   TR  3   CH  3   NT  C#      1+25/1024   von=69   voff=0
BA   15   CR   115/512   TR  1   CH  1   Channel volume 90
BA   15   CR   181/512   TR  1   CH  1   Channel volume 91
BA   15   CR   247/512   TR  1   CH  1   Channel volume 93
BA   15   CR   273/512   TR  2   CH  2   NT  A        477/1024   voff=0
BA   15   CR   313/512   TR  1   CH  1   Channel volume 94
BA   15   CR   379/512   TR  1   CH  1   Channel volume 96
BA   15   CR   445/512   TR  1   CH  1   Channel volume 99
BA   15   CR   511/512   TR  1   CH  1   Channel volume 100
BA   15   CR  1+15/512   TR  2   CH  2   NT  G#        237/512   von=65   voff=0
BA   15   CR  1+65/512   TR  1   CH  1   Channel volume 101
BA   15   CR 1+131/512   TR  1   CH  1   Channel volume 103
BA   15   CR 1+197/512   TR  1   CH  1   Channel volume 104
