format=1 tracks=7 division=240

BA    7   CR    2+7/15   TR  2   CH  2   NT  B--          5/48
BA    7   CR   2+11/16   TR  2   CH  2   NT  B--          7/40
BA    7   CR 2+227/240   TR  2   CH  2   NT  B-           3/16
BA    7   CR   2+23/24   TR  1   CH  1   NT  F#          79/80
BA    7   CR 3+107/240   TR  2   CH  2   NT  B--         11/80
BA    7   CR     3+2/3   TR  2   CH  2   NT  B--          7/40
BA    7   CR   3+37/40   TR  2   CH  2   NT  A--           1/5
BA    7   CR   3+15/16   TR  1   CH  1   NT  E          61/120

BA    8   CR      7/16   TR  1   CH  1   NT  F#          11/20
BA    8   CR      7/16   TR  2   CH  2   NT  A--           1/6
BA    8   CR     11/16   TR  2   CH  2   NT  A--          7/40
BA    8   CR     37/40   TR  1   CH  1   NT  A           13/24
BA    8   CR     79/80   TR  2   CH  2   NT  A-         53/240
BA    8   CR   1+17/40   TR  2   CH  2   NT  A--          7/48
BA    8   CR    1+7/15   TR  1   CH  1   NT  B         113/240
BA    8   CR   1+27/40   TR  2   CH  2   NT  A--        53/240
BA    8   CR 1+217/240   TR  5   CH  5   NT  D''        1+1/48
BA    8   CR   1+15/16   TR  1   CH  1   NT  F#        1+1/120
BA    8   CR   1+79/80   TR  2   CH  2   NT  A--         13/48
BA    8   CR   2+11/24   TR  2   CH  2   NT  A--          3/16
BA    8   CR 2+167/240   TR  2   CH  2   NT  A--          5/24
BA    8   CR   2+15/16   TR  5   CH  5   NT  C#''        79/80
BA    8   CR   2+23/24   TR  1   CH  1   NT  E           29/30
BA    8   CR   2+23/24   TR  6   CH  6   NT  B--        77/240
BA    8   CR   2+47/48   TR  2   CH  2   NT  A-          19/80
BA    8   CR    3+3/16   TR  6   CH  6   NT  B-            1/2
BA    8   CR   3+11/24   TR  2   CH  2   NT  A--          7/48
BA    8   CR   3+11/16   TR  2   CH  2   NT  A--        47/240
BA    8   CR   3+17/24   TR  6   CH  6   NT  F#--        19/80
BA    8   CR   3+23/24   TR  3   CH  3   NT  B         2+17/48   von=127
BA    8   CR   3+23/24   TR  4   CH  4   NT  G--          5/12   von=127
BA    8   CR   3+23/24   TR  5   CH  5   NT  G'        3+47/48

BA    9   CR     39/80   TR  4   CH  4   NT  G--        43/240
BA    9   CR     59/80   TR  4   CH  4   NT  G--         11/48
BA    9   CR     37/40   TR  2   CH  2   ST &B1 &78 &00
BA    9   CR     37/40   TR  2   CH  2   ST &B1 &78 &00
BA    9   CR     37/40   TR  2   CH 16   End of track
BA    9   CR     15/16   TR  1   CH  1   ST &B0 &78 &00
BA    9   CR     15/16   TR  1   CH  1   ST &B0 &78 &00
BA    9   CR     15/16   TR  1   CH 16   End of track
BA    9   CR     29/30   TR  4   CH  4   NT  G-           9/20
BA    9   CR   1+17/40   TR  4   CH  4   NT  G--          7/48
BA    9   CR   1+27/40   TR  4   CH  4   NT  G--        43/240
BA    9   CR   1+23/24   TR  4   CH  4   NT  G--          5/12
BA    9   CR   2+39/80   TR  4   CH  4   NT  G--        19/120
BA    9   CR   2+25/48   TR  3   CH  3   NT  B           11/24
BA    9   CR   2+35/48   TR  4   CH  4   NT  G--           1/4
BA    9   CR         3   TR  4   CH  4   NT  G-        107/240
BA    9   CR    3+1/24   TR  3   CH  3   NT  C#'         11/24
BA    9   CR    3+7/15   TR  4   CH  4   NT  G--        19/120
BA    9   CR 3+127/240   TR  3   CH  3   NT  D'          11/24
BA    9   CR     3+3/4   TR  4   CH  4   NT  G--        31/120

BA   10   CR      1/48   TR  3   CH  3   NT  E'        1+23/48
BA   10   CR     7/240   TR  4   CH  4   NT  A--         11/30
BA   10   CR    61/120   TR  4   CH  4   NT  A--         11/80
BA   10   CR     35/48   TR  4   CH  4   NT  A--         19/80
BA   10   CR   1+1/120   TR  4   CH  4   NT  A-          23/48
BA   10   CR   1+23/48   TR  3   CH  3   NT  D'        1+23/48
BA   10   CR   1+23/48   TR  4   CH  4   NT  A--        37/240
BA   10   CR   1+35/48   TR  4   CH  4   NT  A--           1/6
BA   10   CR 1+227/240   TR  5   CH  5   NT  D''        1+3/40
BA   10   CR         2   TR  4   CH  4   NT  A--           3/8
BA   10   CR   2+39/80   TR  4   CH  4   NT  A--         11/80
BA   10   CR   2+17/24   TR  4   CH  4   NT  A--        31/120
BA   10   CR   2+29/30   TR  3   CH  3   NT  A          1+1/24
BA   10   CR   2+79/80   TR  4   CH  4   NT  A-         59/120
BA   10   CR   3+1/120   TR  5   CH  5   NT  C#''      233/240
BA   10   CR   3+23/48   TR  4   CH  4   NT  A--        37/240
BA   10   CR   3+17/24   TR  4   CH  4   NT  A--         13/48
BA   10   CR   3+29/30   TR  4   CH  4   NT  B--        49/120

BA   11   CR         0   TR  3   CH  3   NT  F#'         15/16
BA   11   CR         0   TR  5   CH  5   NT  A'         5+1/48
BA   11   CR     39/80   TR  4   CH  4   NT  B--        43/240
BA   11   CR    91/120   TR  4   CH  4   NT  B--           1/5
BA   11   CR     79/80   TR  3   CH  3   NT  A            8/15
BA   11   CR   1+1/120   TR  4   CH  4   NT  B-        113/240
BA   11   CR   1+17/40   TR  4   CH  4   NT  B--        19/120
BA   11   CR   1+39/80   TR  3   CH  3   NT  E'              1
BA   11   CR   1+27/40   TR  4   CH  4   NT  B--        19/120
BA   11   CR 1+227/240   TR  4   CH  4   NT  B--       103/240
BA   11   CR   2+39/80   TR  3   CH  3   NT  A         133/240
BA   11   CR     2+1/2   TR  4   CH  4   NT  B--           1/8
BA   11   CR   2+43/60   TR  4   CH  4   NT  B--         11/48
BA   11   CR   2+47/48   TR  4   CH  4   NT  B-          13/24
BA   11   CR   3+1/120   TR  3   CH  3   NT  D'        109/120
BA   11   CR   3+23/48   TR  4   CH  4   NT  B--          9/80
BA   11   CR 3+167/240   TR  4   CH  4   NT  B--          7/48
BA   11   CR   3+15/16   TR  3   CH  3   NT  A           11/20
BA   11   CR   3+29/30   TR  4   CH  4   NT  B--           3/8

BA   12   CR   107/240   TR  4   CH  4   NT  B--        19/120
BA   12   CR     23/48   TR  3   CH  3   NT  C#'             1
BA   12   CR     11/16   TR  4   CH  4   NT  B--           1/4
BA   12   CR     17/24   TR  6   CH  6   ST &B5 &78 &00
BA   12   CR     17/24   TR  6   CH  6   ST &B5 &78 &00
BA   12   CR     17/24   TR  6   CH 16   End of track
BA   12   CR     29/30   TR  4   CH  4   NT  B-        113/240
