format=0 tracks=1 division=192

BA   14   CR     1+1/4   TR  0   CH 10   NT  F#--        23/96
BA   14   CR     1+1/2   TR  0   CH 10   NT  Bb--        47/96
BA   14   CR     1+3/4   TR  0   CH  2   NT  C'          23/96
BA   14   CR     1+3/4   TR  0   CH  4   NT  G--         23/96
BA   14   CR         2   TR  0   CH 10   NT  C--         47/96
BA   14   CR         2   TR  0   CH 10   NT  F#--        47/96
BA   14   CR         2   TR  0   CH  2   NT  D'            5/6
BA   14   CR         2   TR  0   CH  3   NT  A             5/6
BA   14   CR         2   TR  0   CH  4   NT  F#--        71/96
BA   14   CR     2+1/2   TR  0   CH 10   NT  Bb--        47/96
