format=1 tracks=33 division=480

BA    3   CR         2   TR  1   CH  1   NT  F#           9/40   von=105
BA    3   CR         2   TR  2   CH  2   NT  A            9/40
BA    3   CR         2   TR  3   CH  3   NT  F#---           2   von=127
BA    3   CR         2   TR  3   CH  3   NT  F#--            2
BA    3   CR         2   TR  4   CH  4   NT  C               2   von=123
BA    3   CR         2   TR  4   CH  4   NT  F#-             2
BA    3   CR         2   TR  5   CH  5   NT  F#'           2/5   von=110
BA    3   CR     2+1/4   TR  1   CH  1   NT  A            9/40   von=107
BA    3   CR     2+1/4   TR  2   CH  2   NT  C'           9/40   von=99
BA    3   CR     2+1/2   TR  1   CH  1   NT  G            9/40   von=109
BA    3   CR     2+1/2   TR  2   CH  2   NT  B            9/40   von=104
BA    3   CR     2+1/2   TR  5   CH  5   NT  C'            2/5   von=101
BA    3   CR     2+3/4   TR  1   CH  1   NT  A            9/40
BA    3   CR     2+3/4   TR  2   CH  2   NT  C'           9/40   von=109
BA    3   CR         3   TR  1   CH  1   NT  F#           9/40   von=111
BA    3   CR         3   TR  2   CH  2   NT  A            9/40   von=117
BA    3   CR         3   TR  5   CH  5   NT  A             2/5   von=119
BA    3   CR     3+1/4   TR  1   CH  1   NT  A            9/40   von=115
BA    3   CR     3+1/4   TR  2   CH  2   NT  C'           9/40   von=121
BA    3   CR     3+1/2   TR  1   CH  1   NT  G            9/40   von=119
BA    3   CR     3+1/2   TR  2   CH  2   NT  B            9/40   von=124
BA    3   CR     3+1/2   TR  5   CH  5   NT  F#'           2/5   von=126
BA    3   CR     3+3/4   TR  1   CH  1   NT  A            9/40   von=122
BA    3   CR     3+3/4   TR  2   CH  2   NT  C'           9/40   von=127

BA    4   CR         0   TR  1   CH  1   NT  F#           9/20   von=126
BA    4   CR         0   TR  2   CH  2   NT  A            9/20
BA    4   CR         0   TR  3   CH  3   NT  B--          9/10   von=100
BA    4   CR         0   TR  4   CH  4   NT  B--             2   von=127
BA    4   CR         0   TR  4   CH  4   NT  F#-             2
BA    4   CR         0   TR  4   CH  4   NT  B-              2
BA    4   CR         0   TR  5   CH  5   NT  E'            2/5   von=100
BA    4   CR         0   TR  5   CH  5   NT  A             2/5
BA    4   CR         0   TR  5   CH  5   NT  F#            2/5
BA    4   CR       1/2   TR  5   CH  5   NT  E'            4/5
BA    4   CR       1/2   TR  5   CH  5   NT  F#            4/5
BA    4   CR       1/2   TR  5   CH  5   NT  A             4/5
BA    4   CR         1   TR  3   CH  3   NT  B-           9/10
BA    4   CR     1+1/2   TR  5   CH  5   NT  D#'           4/5
BA    4   CR     1+1/2   TR  5   CH  5   NT  F#            4/5
BA    4   CR     1+1/2   TR  5   CH  5   NT  A             4/5
BA    4   CR         2   TR  3   CH  3   NT  F#-          9/10
BA    4   CR         2   TR  4   CH  4   NT  B--             2   von=100
BA    4   CR         2   TR  4   CH  4   NT  G-              2
BA    4   CR     2+1/4   TR  1   CH  1   NT  G            9/40   von=100
BA    4   CR     2+1/2   TR  1   CH  1   NT  A            9/40
BA    4   CR     2+1/2   TR  2   CH  2   NT  E'           9/20   von=100
