format=1 tracks=12 division=96

BA    1   CR         0   TR 11   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 102
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 11   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 102
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR       1/4   TR  2   CH 10   NT  Bb---         1/4
BA    1   CR       1/4   TR 10   CH  2   NT  C--           1/4
BA    1   CR       1/2   TR  2   CH 10   NT  Bb--          1/4
BA    1   CR       1/2   TR  2   CH 10   NT  C--           1/4
BA    1   CR       1/2   TR  2   CH 10   NT  A---          1/4
BA    1   CR       1/2   TR  3   CH  1   NT  C             1/4   von=100
BA    1   CR       1/2   TR  3   CH  1   NT  Eb            1/4
BA    1   CR       1/2   TR  3   CH  1   NT  G             1/4
BA    1   CR       1/2   TR 10   CH  2   NT  C-            1/4
BA    1   CR       3/4   TR  2   CH 10   NT  A---          1/4
BA    1   CR       3/4   TR  3   CH  1   NT  C             1/4
BA    1   CR       3/4   TR 10   CH  2   NT  C---          1/4
BA    1   CR         1   TR  2   CH 10   NT  Eb--          1/4
BA    1   CR         1   TR  2   CH 10   NT  G#--          1/4
BA    1   CR         1   TR  2   CH 10   NT  Bb---         1/4
BA    1   CR         1   TR 10   CH  2   NT  C--           1/4
BA    1   CR     1+1/4   TR  2   CH 10   NT  A---          1/4
BA    1   CR     1+1/4   TR  3   CH  1   NT  G             1/4
BA    1   CR     1+1/4   TR  3   CH  1   NT  Eb            1/4
BA    1   CR     1+1/4   TR  3   CH  1   NT  C             1/4
BA    1   CR     1+1/4   TR 10   CH  2   NT  C-            1/4
BA    1   CR     1+1/2   TR  2   CH 10   NT  Bb--          1/4
BA    1   CR     1+1/2   TR  2   CH 10   NT  Bb---         1/4
BA    1   CR     1+1/2   TR  3   CH  1   NT  C             1/4
BA    1   CR     1+1/2   TR 10   CH  2   NT  C---          1/4
BA    1   CR     1+3/4   TR  2   CH 10   NT  G#--          1/4
BA    1   CR     1+3/4   TR  2   CH 10   NT  C--           1/4
BA    1   CR     1+3/4   TR  2   CH 10   NT  Bb---         1/4
BA    1   CR     1+3/4   TR 10   CH  2   NT  C--           1/4
BA    1   CR         2   TR  2   CH 10   NT  A---          1/4
BA    1   CR         2   TR  3   CH  1   NT  C             1/4
BA    1   CR         2   TR  3   CH  1   NT  Eb            1/4
BA    1   CR         2   TR  3   CH  1   NT  G             1/4
BA    1   CR         2   TR 10   CH  2   NT  C-            1/4
BA    1   CR     2+1/4   TR  2   CH 10   NT  G#--          1/4
BA    1   CR     2+1/4   TR  2   CH 10   NT  A---          1/4
BA    1   CR     2+1/4   TR  3   CH  1   NT  C             1/4
BA    1   CR     2+1/4   TR 10   CH  2   NT  C---          1/4
BA    1   CR     2+1/2   TR  2   CH 10   NT  Bb--          1/4
BA    1   CR     2+1/2   TR  2   CH 10   NT  C--           1/4
BA    1   CR     2+1/2   TR  2   CH 10   NT  Bb---         1/4
BA    1   CR     2+1/2   TR 10   CH  2   NT  C--           1/4
