format=1 tracks=8 division=96

BA    4   CR       1/2   TR  5   CH  5   NT  Bb          23/48   voff=109
BA    4   CR       1/2   TR  6   CH  6   NT  Bb          23/48   voff=109
BA    4   CR       1/2   TR  7   CH 10   NT  F#--        23/48   voff=109
BA    4   CR       1/2   TR  7   CH 10   NT  E-          47/48   von=108   voff=108
BA    4   CR       1/2   TR  7   CH 10   NT  D--         23/48   von=109   voff=109
BA    4   CR         1   TR  5   CH  5   NT  Bb-         23/48   voff=109
BA    4   CR         1   TR  6   CH  6   NT  Bb-         23/48   voff=109
BA    4   CR         1   TR  7   CH 10   NT  F#--        23/48   voff=109
BA    4   CR     1+1/2   TR  1   CH  1   NT  C'          23/48   voff=109
BA    4   CR     1+1/2   TR  1   CH  1   NT  F'          23/48   voff=109
BA    4   CR     1+1/2   TR  2   CH  2   NT  G#-         23/48   voff=109
BA    4   CR     1+1/2   TR  2   CH  2   NT  C#          23/48   voff=109
BA    4   CR     1+1/2   TR  5   CH  5   NT  Bb          23/48   voff=109
BA    4   CR     1+1/2   TR  6   CH  6   NT  Bb          23/48   voff=109
BA    4   CR     1+1/2   TR  7   CH 10   NT  F#--        23/48   voff=109
BA    4   CR     1+1/2   TR  7   CH 10   NT  E-          23/48   von=108   voff=108
BA    4   CR     1+1/2   TR  7   CH 10   NT  D--         23/48   von=109   voff=109
BA    4   CR         2   TR  1   CH  1   NT  C#'         23/48   voff=109
BA    4   CR         2   TR  1   CH  1   NT  F#'         23/48   voff=109
BA    4   CR         2   TR  2   CH  2   NT  G#-         23/48   voff=109
BA    4   CR         2   TR  2   CH  2   NT  C#          23/48   voff=109
BA    4   CR         2   TR  3   CH  3   NT  Eb        1+23/48   voff=109
BA    4   CR         2   TR  3   CH  3   NT  F#          23/48   voff=109
BA    4   CR         2   TR  4   CH  4   NT  Eb-       1+23/48   voff=109
BA    4   CR         2   TR  4   CH  4   NT  F#-         23/48   voff=109
BA    4   CR         2   TR  5   CH  5   NT  F#-         23/48   voff=109
BA    4   CR         2   TR  6   CH  6   NT  F#-         23/48   voff=109
BA    4   CR         2   TR  7   CH 10   NT  F#--        23/48   voff=109
BA    4   CR         2   TR  7   CH 10   NT  A-          23/48   von=108   voff=108
BA    4   CR         2   TR  7   CH 10   NT  D--         11/48   von=109   voff=109
BA    4   CR     2+1/4   TR  7   CH 10   NT  D--         11/48   voff=109
BA    4   CR     2+1/2   TR  1   CH  1   NT  C'          23/48   voff=109
BA    4   CR     2+1/2   TR  1   CH  1   NT  F'          23/48   voff=109
BA    4   CR     2+1/2   TR  2   CH  2   NT  G#-         23/48   voff=109
BA    4   CR     2+1/2   TR  2   CH  2   NT  C#          23/48   voff=109
BA    4   CR     2+1/2   TR  3   CH  3   NT  F#          23/48   voff=109
BA    4   CR     2+1/2   TR  4   CH  4   NT  F#-         23/48   voff=109
BA    4   CR     2+1/2   TR  5   CH  5   NT  F-          23/48   voff=109
BA    4   CR     2+1/2   TR  6   CH  6   NT  F-          23/48   voff=109
BA    4   CR     2+1/2   TR  7   CH 10   NT  F#--        23/48   voff=109
BA    4   CR     2+1/2   TR  7   CH 10   NT  A-          23/48   von=108   voff=108
BA    4   CR     2+1/2   TR  7   CH 10   NT  D--         11/48   von=109   voff=109
BA    4   CR     2+3/4   TR  7   CH 10   NT  D--         11/48   voff=109
BA    4   CR         3   TR  1   CH  1   NT  G#          23/48   voff=109
BA    4   CR         3   TR  1   CH  1   NT  C#'         23/48   voff=109
BA    4   CR         3   TR  2   CH  2   NT  Eb-         23/48   voff=109
BA    4   CR         3   TR  2   CH  2   NT  G#-         23/48   voff=109
BA    4   CR         3   TR  3   CH  3   NT  F#          23/48   voff=109
BA    4   CR         3   TR  4   CH  4   NT  F#-         23/48   voff=109
BA    4   CR         3   TR  5   CH  5   NT  C#-         23/48   voff=109
BA    4   CR         3   TR  6   CH  6   NT  C#-         23/48   voff=109
BA    4   CR         3   TR  7   CH 10   NT  E-          23/48   von=108   voff=108
BA    4   CR         3   TR  7   CH 10   NT  F#--        11/48   von=109   voff=109
BA    4   CR     3+1/4   TR  7   CH 10   NT  F#--        11/48   voff=109
BA    4   CR     3+1/2   TR  1   CH  1   NT  Bb          23/48   voff=109
BA    4   CR     3+1/2   TR  1   CH  1   NT  Eb'         23/48   voff=109
BA    4   CR     3+1/2   TR  2   CH  2   NT  F-          23/48   voff=109
BA    4   CR     3+1/2   TR  2   CH  2   NT  Bb-         23/48   voff=109
BA    4   CR     3+1/2   TR  3   CH  3   NT  F#          23/48   voff=109
BA    4   CR     3+1/2   TR  4   CH  4   NT  F#-         23/48   voff=109
BA    4   CR     3+1/2   TR  5   CH  5   NT  Eb-         23/48   voff=109
BA    4   CR     3+1/2   TR  6   CH  6   NT  Eb-         23/48   voff=109
BA    4   CR     3+1/2   TR  7   CH 10   NT  E-          23/48   von=108   voff=108
BA    4   CR     3+1/2   TR  7   CH 10   NT  C#-         23/48   voff=108
BA    4   CR     3+1/2   TR  7   CH 10   NT  A-          23/48   voff=108
BA    4   CR     3+1/2   TR  7   CH 10   NT  F#--        11/48   von=109   voff=109
BA    4   CR     3+3/4   TR  7   CH 10   NT  F#--        11/48   voff=109

