format=1 tracks=5 division=240

BA   16   CR     1+1/2   TR  2   CH  1   NT  F--           1/2
BA   16   CR         2   TR  1   CH 10   NT  A---          1/2
BA   16   CR         2   TR  2   CH  1   NT  C--             1
BA   16   CR         2   TR  3   CH  2   NT  C             1/2
BA   16   CR         2   TR  3   CH  2   NT  G#            1/2
BA   16   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA   16   CR         3   TR  1   CH 10   NT  Eb--          1/2
BA   16   CR         3   TR  1   CH 10   NT  A---          1/2
BA   16   CR         3   TR  3   CH  2   NT  G             1/2
BA   16   CR         3   TR  3   CH  2   NT  C             1/2
BA   16   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA   16   CR     3+1/2   TR  2   CH  1   NT  C--           1/2

BA   17   CR         0   TR  1   CH 10   NT  A---          1/2
BA   17   CR         0   TR  2   CH  1   NT  C--             1
BA   17   CR         0   TR  3   CH  2   NT  C             1/2
BA   17   CR         0   TR  3   CH  2   NT  G-            1/2
BA   17   CR         0   TR  4   CH  3   NT  G'            1/2
BA   17   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA   17   CR       1/2   TR  4   CH  3   NT  G'            1/2
BA   17   CR         1   TR  1   CH 10   NT  Eb--          1/2
BA   17   CR         1   TR  1   CH 10   NT  A---          1/2
BA   17   CR         1   TR  3   CH  2   NT  G-            1/2
BA   17   CR         1   TR  3   CH  2   NT  D             1/2
BA   17   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA   17   CR     1+1/2   TR  2   CH  1   NT  C--           1/2
BA   17   CR     1+1/2   TR  4   CH  3   NT  G'          1+1/2
BA   17   CR         2   TR  1   CH 10   NT  A---          1/2
BA   17   CR         2   TR  2   CH  1   NT  G---            1
BA   17   CR         2   TR  3   CH  2   NT  Eb            1/2
BA   17   CR         2   TR  3   CH  2   NT  G-            1/2
BA   17   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA   17   CR         3   TR  1   CH 10   NT  Eb--          1/2
BA   17   CR         3   TR  1   CH 10   NT  A---          1/2
BA   17   CR         3   TR  3   CH  2   NT  G-            1/2
BA   17   CR         3   TR  3   CH  2   NT  D             1/2
BA   17   CR         3   TR  4   CH  3   NT  F'              1
