format=1 tracks=8 division=480

BA   26   CR     3+1/2   TR  7   CH  7   NT  Bb          11/24   voff=80

BA   27   CR         0   TR  1   CH  1   NT  D''       1+23/24   voff=80
BA   27   CR         0   TR  1   CH  1   NT  B'        1+23/24   voff=80
BA   27   CR         0   TR  2   CH  2   NT  F--         23/24   voff=80
BA   27   CR         0   TR  3   CH  3   NT  G-        7+23/24   voff=80
BA   27   CR         0   TR  4   CH  4   NT  G--       7+23/24   voff=80
BA   27   CR         0   TR  6   CH  6   NT  B         7+23/24   voff=80
BA   27   CR         0   TR  6   CH  6   NT  G         7+23/24   voff=80
BA   27   CR         0   TR  6   CH  6   NT  E         7+23/24   voff=80
BA   27   CR         0   TR  7   CH  7   NT  A         2+23/24   voff=80
BA   27   CR         2   TR  1   CH  1   NT  D''       1+23/24   voff=80
BA   27   CR         2   TR  1   CH  1   NT  B'        1+23/24   voff=80
BA   27   CR         2   TR  2   CH  2   NT  F--         23/24   voff=80
BA   27   CR         3   TR  7   CH  7   NT  C#'         23/24   voff=80

BA   28   CR         0   TR  1   CH  1   NT  C#''      1+23/24   voff=80
BA   28   CR         0   TR  1   CH  1   NT  Bb'       1+23/24   voff=80
BA   28   CR         0   TR  5   CH  5   NT  B         3+23/24   voff=80
BA   28   CR         0   TR  5   CH  5   NT  E         3+23/24   voff=80
BA   28   CR         0   TR  7   CH  7   NT  C'        2+11/24   voff=80
BA   28   CR         2   TR  1   CH  1   NT  C#''      1+23/24   voff=80
BA   28   CR         2   TR  1   CH  1   NT  Bb'       1+23/24   voff=80
BA   28   CR     3+1/2   TR  7   CH  7   NT  C'          11/24   voff=80

BA   29   CR         0   TR  2   CH  2   NT  D-          23/24   voff=80
BA   29   CR         0   TR  3   CH  3   NT  E-        3+23/24   voff=80
BA   29   CR         0   TR  4   CH  4   NT  E--       3+23/24   voff=80
BA   29   CR         0   TR  5   CH  5   NT  B         1+23/24   voff=80
BA   29   CR         0   TR  5   CH  5   NT  G         1+23/24   voff=80
BA   29   CR         0   TR  6   CH  6   NT  F#        7+23/24   voff=80
BA   29   CR         0   TR  6   CH  6   NT  D         7+23/24   voff=80
BA   29   CR         0   TR  6   CH  6   NT  C#        7+23/24   voff=80
BA   29   CR         0   TR  7   CH  7   NT  B         2+23/24   voff=80
BA   29   CR         2   TR  5   CH  5   NT  B         1+23/24   voff=80
BA   29   CR         2   TR  5   CH  5   NT  G         1+23/24   voff=80
BA   29   CR         3   TR  7   CH  7   NT  Eb'         23/24   voff=80

BA   30   CR         0   TR  1   CH  1   NT  Eb''      3+23/24   voff=80
BA   30   CR         0   TR  3   CH  3   NT  G-        3+23/24   voff=80
BA   30   CR         0   TR  4   CH  4   NT  G--       3+23/24   voff=80
BA   30   CR         0   TR  5   CH  5   NT  Bb        7+23/24   von=79   voff=80
BA   30   CR         0   TR  5   CH  5   NT  G         7+23/24   voff=80
BA   30   CR         0   TR  7   CH  7   NT  D'        2+11/24   voff=80
BA   30   CR     3+1/2   TR  7   CH  7   NT  D'          11/24   voff=80

BA   31   CR         0   TR  3   CH  3   NT  D-        7+23/24   von=95   voff=80
BA   31   CR         0   TR  4   CH  4   NT  D--       7+23/24   von=95   voff=80
BA   31   CR         0   TR  5   CH  5   NT  Bb-       3+23/24   voff=80
BA   31   CR         0   TR  6   CH  6   NT  F         7+23/24   von=95   voff=80
BA   31   CR         0   TR  6   CH  6   NT  D         7+23/24   voff=80
BA   31   CR         0   TR  7   CH  7   NT  C#'       2+23/24   voff=80
BA   31   CR         3   TR  7   CH  7   NT  E'          23/24   voff=80

BA   32   CR         0   TR  5   CH  5   NT  Bb        3+23/24   voff=80
BA   32   CR         0   TR  5   CH  5   NT  F#        3+23/24   voff=80
BA   32   CR         0   TR  7   CH  7   NT  Eb'        2+5/12   voff=80
BA   32   CR     3+1/2   TR  7   CH  7   NT  Eb'         11/24   voff=80

BA   33   CR         0   TR  3   CH  3   NT  D-        3+23/24   voff=80
BA   33   CR         0   TR  4   CH  4   NT  D--       3+23/24   voff=80
BA   33   CR         0   TR  5   CH  5   NT  C#'       3+23/24   von=63   voff=80
BA   33   CR         0   TR  5   CH  5   NT  A         3+23/24   voff=80
BA   33   CR         0   TR  5   CH  5   NT  E         3+23/24   voff=80
BA   33   CR         0   TR  6   CH  6   NT  F         3+23/24   voff=80
BA   33   CR         0   TR  6   CH  6   NT  D         3+23/24   voff=80
BA   33   CR         0   TR  6   CH  6   NT  A-        3+23/24   voff=80
BA   33   CR         0   TR  7   CH  7   NT  E'        1+23/24   voff=80
BA   33   CR         2   TR  7   CH  7   NT  C#'       3+23/24   voff=80

BA   34   CR         0   TR  1   CH  1   Channel volume 7
BA   34   CR         0   TR  1   CH  1   NT  F'       15+23/24   von=79   voff=80
BA   34   CR         0   TR  1   CH  1   NT  D'       15+23/24   voff=80
BA   34   CR         0   TR  2   CH  2   NT  F--         23/24   voff=80
BA   34   CR         0   TR  3   CH  3   NT  D-       15+23/24   von=79   voff=80
BA   34   CR         0   TR  4   CH  4   NT  D--      15+23/24   von=79   voff=80
BA   34   CR         0   TR  5   CH  5   NT  D'       15+23/24   von=47   voff=80
BA   34   CR         0   TR  5   CH  5   NT  A        15+23/24   voff=80
BA   34   CR       1/4   TR  1   CH  1   Channel volume 14
BA   34   CR       1/2   TR  1   CH  1   Channel volume 20
BA   34   CR       3/4   TR  1   CH  1   Channel volume 27
BA   34   CR         1   TR  1   CH  1   Channel volume 34
BA   34   CR     1+1/4   TR  1   CH  1   Channel volume 41
BA   34   CR     1+1/2   TR  1   CH  1   Channel volume 47
BA   34   CR     1+3/4   TR  1   CH  1   Channel volume 54
BA   34   CR         2   TR  1   CH  1   Channel volume 61
BA   34   CR         2   TR  2   CH  2   NT  F--         23/24   voff=80
BA   34   CR     2+1/4   TR  1   CH  1   Channel volume 68
BA   34   CR     2+1/2   TR  1   CH  1   Channel volume 74
BA   34   CR     2+3/4   TR  1   CH  1   Channel volume 81
BA   34   CR         3   TR  1   CH  1   Channel volume 88

BA   35   CR         0   TR  6   CH  6   NT  F           3+3/8   von=63   voff=80
BA   35   CR   1+11/12   TR  7   CH 16   End of track

BA   36   CR         0   TR  2   CH  2   NT  F--         23/24   voff=80
BA   36   CR         2   TR  2   CH  2   NT  F--         23/24   voff=80

BA   37   CR         0   TR  6   CH  6   NT  F         1+23/24   voff=80
BA   37   CR         2   TR  6   CH  6   NT  D         1+23/24   voff=80

BA   38   CR         0   TR  1   CH  1   NT  E'       15+23/24   voff=80
BA   38   CR         0   TR  1   CH  1   NT  C#'      15+23/24   voff=80
BA   38   CR         0   TR  1   CH  1   NT  C'       15+23/24   voff=80
BA   38   CR         0   TR  2   CH  2   NT  D-          23/24   voff=80
BA   38   CR         0   TR  3   CH  3   NT  E-       15+23/24   voff=80
BA   38   CR         0   TR  4   CH  4   NT  E--      15+23/24   von=95   voff=80
BA   38   CR         0   TR  5   CH  5   NT  A        15+23/24   von=95   voff=80
BA   38   CR         0   TR  5   CH  5   NT  F        15+23/24   voff=80
BA   38   CR         0   TR  6   CH  6   NT  F         3+23/24   voff=80
BA   38   CR   1+11/12   TR  2   CH 16   End of track

BA   39   CR         0   TR  6   CH  6   NT  C         3+23/24   voff=80

BA   40   CR         0   TR  6   CH  6   NT  A-        7+23/24   voff=80

