format=1 tracks=11 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "Mega Man 9 - Special Stage (XG) - Sequenced by Teck"
BA    1   CR         0   TR 10   CH 12   ST &BB &00 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &20 &12
BA    1   CR         0   TR 10   CH 12   Instrument 81
BA    1   CR         0   TR 10   CH 12   Channel volume 100
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 10   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &06 &7D
BA    1   CR         0   TR 10   CH 12   ST &BB &26 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &01 &2D
BA    1   CR         0   TR 10   CH 12   ST &BB &4A &50
BA    1   CR         0   TR 10   CH 12   ST &BB &5B &46
BA    1   CR         0   TR 10   CH 12   ST &BB &5D &6E

BA    2   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    2   CR         0   TR  0   CH 16   End of track
BA    2   CR         0   TR  2   CH  2   NT  C--          5/24   von=125
BA    2   CR         0   TR  8   CH 10   NT  F#--          1/8   von=96
BA    2   CR         0   TR  8   CH 10   NT  G---          1/8
BA    2   CR         0   TR  8   CH 10   NT  D--           1/8   von=54
BA    2   CR         0   TR  9   CH 11   ST &BA &0A &00
BA    2   CR         0   TR  9   CH 11   NT  F'            1/4   von=120
BA    2   CR      1/40   TR  9   CH 11   ST &BA &0A &01
BA    2   CR      1/20   TR  9   CH 11   ST &BA &0A &02
BA    2   CR      3/40   TR  9   CH 11   ST &BA &0A &03
BA    2   CR      1/10   TR  9   CH 11   ST &BA &0A &04
BA    2   CR      7/60   TR  9   CH 11   ST &BA &0A &05
BA    2   CR      3/20   TR  9   CH 11   ST &BA &0A &06
BA    2   CR       1/6   TR  9   CH 11   ST &BA &0A &07
BA    2   CR     11/60   TR  9   CH 11   ST &BA &0A &08
BA    2   CR     13/60   TR  9   CH 11   ST &BA &0A &09
BA    2   CR      7/30   TR  9   CH 11   ST &BA &0A &0A
BA    2   CR       1/4   TR  2   CH  2   NT  G--          5/24
BA    2   CR       1/4   TR  8   CH 10   NT  G---          1/8   von=99
BA    2   CR       1/4   TR  8   CH 10   NT  D--           1/8   von=55
BA    2   CR       1/4   TR  9   CH 11   NT  F             1/4
BA    2   CR    31/120   TR  9   CH 11   ST &BA &0A &0B
BA    2   CR     17/60   TR  9   CH 11   ST &BA &0A &0C
BA    2   CR    37/120   TR  9   CH 11   ST &BA &0A &0D
BA    2   CR       1/3   TR  9   CH 11   ST &BA &0A &0E
BA    2   CR    43/120   TR  9   CH 11   ST &BA &0A &0F
BA    2   CR       3/8   TR  9   CH 11   ST &BA &0A &10
BA    2   CR    49/120   TR  9   CH 11   ST &BA &0A &11
BA    2   CR     17/40   TR  9   CH 11   ST &BA &0A &12
BA    2   CR      9/20   TR  9   CH 11   ST &BA &0A &13
BA    2   CR     19/40   TR  9   CH 11   ST &BA &0A &14
BA    2   CR       1/2   TR  2   CH  2   NT  C-           5/24
BA    2   CR       1/2   TR  8   CH 10   NT  F#--          1/8   von=103
BA    2   CR       1/2   TR  8   CH 10   NT  B---          1/8   von=76
BA    2   CR       1/2   TR  8   CH 10   NT  C--           1/8
BA    2   CR       1/2   TR  9   CH 11   ST &BA &0A &15
BA    2   CR       1/2   TR  9   CH 11   NT  F-            1/4
BA    2   CR     31/60   TR  9   CH 11   ST &BA &0A &16
BA    2   CR     11/20   TR  9   CH 11   ST &BA &0A &17
