format=1 tracks=9 division=96

BA    9   CR     2+3/8   TR  6   CH  3   NT  Eb'         47/96   voff=0
BA    9   CR     2+1/2   TR  6   CH  3   NT  E'          47/96   voff=0
BA    9   CR         3   TR  6   CH  3   NT  A           47/96   voff=0
BA    9   CR     3+1/2   TR  6   CH  3   NT  Eb'         47/96   voff=0
BA    9   CR     3+1/2   TR  8   CH  1   NT  B---        47/96   voff=0

BA   10   CR         0   TR  6   CH  3   NT  D'          47/96   voff=0
BA   10   CR         0   TR  8   CH  1   NT  E---      1+47/96   voff=0
BA   10   CR         0   TR  8   CH  1   NT  E--       1+47/96   voff=0
BA   10   CR       1/2   TR  6   CH  3   NT  G           47/96   voff=0
BA   10   CR         1   TR  6   CH  3   NT  C'          47/96   voff=0
BA   10   CR     1+1/2   TR  6   CH  3   NT  B           47/96   voff=0
BA   10   CR   1+25/48   TR  2   CH  2   NT  E--       1+47/96   voff=0
BA   10   CR   1+25/48   TR  2   CH  2   NT  A--       1+47/96   voff=0
BA   10   CR   1+25/48   TR  2   CH  2   NT  E-        1+47/96   voff=0
BA   10   CR         2   TR  6   CH  3   NT  F         2+47/96   voff=0
BA   10   CR    3+1/48   TR  2   CH  2   NT  F--       2+47/96   voff=0
BA   10   CR    3+1/48   TR  2   CH  2   NT  Bb--      2+47/96   voff=0
BA   10   CR    3+1/48   TR  2   CH  2   NT  Eb-       2+47/96   voff=0

BA   11   CR     37/96   TR  6   CH  3   NT  B           47/96   voff=0
BA   11   CR       1/2   TR  6   CH  3   NT  C'          47/96   voff=0
BA   11   CR         1   TR  6   CH  3   NT  F           47/96   voff=0
BA   11   CR     1+1/2   TR  6   CH  3   NT  C'          47/96   voff=0
BA   11   CR     1+1/2   TR  8   CH  1   NT  B---        47/96   voff=0
BA   11   CR         2   TR  6   CH  3   NT  B           47/96   voff=0
BA   11   CR         2   TR  8   CH  1   NT  E---      1+47/96   voff=0
BA   11   CR         2   TR  8   CH  1   NT  E--       1+47/96   voff=0
BA   11   CR     2+1/2   TR  6   CH  3   NT  E           47/96   voff=0
BA   11   CR         3   TR  6   CH  3   NT  Bb          47/96   voff=0
BA   11   CR     3+1/2   TR  6   CH  3   NT  A           47/96   voff=0
BA   11   CR   3+25/48   TR  2   CH  2   NT  E--       1+47/96   voff=0
BA   11   CR   3+25/48   TR  2   CH  2   NT  A--       1+47/96   voff=0
BA   11   CR   3+25/48   TR  2   CH  2   NT  E-        1+47/96   voff=0

BA   12   CR         0   TR  6   CH  3   NT  D           95/96   voff=0
BA   12   CR         1   TR  6   CH  3   NT  C           95/96   voff=0
BA   12   CR    1+1/48   TR  2   CH  2   NT  F--       2+95/96   voff=0
BA   12   CR    1+1/48   TR  2   CH  2   NT  Bb--      2+95/96   voff=0
BA   12   CR    1+1/48   TR  2   CH  2   NT  Eb-       2+95/96   voff=0
BA   12   CR         2   TR  6   CH  3   NT  D           95/96   voff=0
BA   12   CR         3   TR  6   CH  3   NT  Bb-         47/96   voff=0
BA   12   CR     3+1/2   TR  6   CH  3   NT  D           47/96   voff=0
BA   12   CR     3+7/8   TR  6   CH  3   NT  Bb-         47/96   voff=0

BA   13   CR         0   TR  8   CH  1   NT  E---      5+47/96   voff=0
BA   13   CR         0   TR  8   CH  1   NT  E--       5+47/96   voff=0
BA   13   CR      1/96   TR  6   CH  3   NT  B-         3+1/96   voff=0
BA   13   CR     1+1/2   TR  2   CH  2   NT  E-        1+47/96   voff=0
BA   13   CR     1+1/2   TR  2   CH  2   NT  A-        1+47/96   voff=0
BA   13   CR     1+1/2   TR  2   CH  2   NT  E         1+47/96   voff=0
BA   13   CR         3   TR  2   CH  2   NT  F-        2+95/96   voff=0
BA   13   CR         3   TR  2   CH  2   NT  Bb-       2+95/96   voff=0
BA   13   CR         3   TR  2   CH  2   NT  Eb        2+95/96   voff=0

BA   14   CR     1+1/2   TR  8   CH  1   NT  B---        47/96   voff=0
BA   14   CR         2   TR  8   CH  1   NT  E---      5+95/96   voff=0
BA   14   CR         2   TR  8   CH  1   NT  E--       5+95/96   voff=0
BA   14   CR     3+1/2   TR  2   CH  2   NT  E-        1+47/96   voff=0
BA   14   CR     3+1/2   TR  2   CH  2   NT  A-        1+47/96   voff=0
BA   14   CR     3+1/2   TR  2   CH  2   NT  E         1+47/96   voff=0

BA   15   CR         1   TR  2   CH  2   NT  F-        1+47/96   voff=0
BA   15   CR         1   TR  2   CH  2   NT  Bb-       1+47/96   voff=0
BA   15   CR         1   TR  2   CH  2   NT  Eb        1+47/96   voff=0
BA   15   CR     2+3/8   TR  7   CH  4   NT  G#'         47/96   von=80   voff=0
BA   15   CR     2+1/2   TR  7   CH  4   NT  A'          47/96   voff=0
BA   15   CR         3   TR  7   CH  4   NT  D'          47/96   voff=0
BA   15   CR     3+1/2   TR  7   CH  4   NT  G#'         47/96   voff=0

BA   16   CR         0   TR  7   CH  4   NT  G'          47/96   voff=0
BA   16   CR         0   TR  8   CH  1   NT  A----     1+47/96   voff=0
BA   16   CR         0   TR  8   CH  1   NT  A---      1+47/96   voff=0
BA   16   CR       1/2   TR  7   CH  4   NT  C'          47/96   voff=0
BA   16   CR         1   TR  7   CH  4   NT  F'          47/96   voff=0
BA   16   CR     1+1/2   TR  2   CH  2   NT  D-        1+47/96   voff=0
BA   16   CR     1+1/2   TR  2   CH  2   NT  G--       1+47/96   voff=0
BA   16   CR     1+1/2   TR  2   CH  2   NT  D--       1+47/96   voff=0
BA   16   CR     1+1/2   TR  7   CH  4   NT  E'          47/96   voff=0
BA   16   CR    2+1/96   TR  7   CH  4   NT  Bb        2+47/96   voff=0
BA   16   CR         3   TR  2   CH  2   NT  C#-       2+95/96   voff=0
BA   16   CR         3   TR  2   CH  2   NT  G#--      2+95/96   voff=0
BA   16   CR         3   TR  2   CH  2   NT  Eb--      2+95/96   voff=0

BA   17   CR     35/96   TR  7   CH  4   NT  E'          47/96   voff=0
BA   17   CR       1/2   TR  7   CH  4   NT  F'          47/96   voff=0
BA   17   CR    1+1/96   TR  7   CH  4   NT  Bb          47/96   voff=0
BA   17   CR     1+1/2   TR  7   CH  4   NT  F'          47/96   voff=0
BA   17   CR         2   TR  7   CH  4   NT  E'          47/96   voff=0
BA   17   CR         2   TR  8   CH  1   NT  A----     1+47/96   voff=0
BA   17   CR         2   TR  8   CH  1   NT  A---      1+47/96   voff=0
BA   17   CR     2+1/2   TR  7   CH  4   NT  A           47/96   voff=0
BA   17   CR         3   TR  7   CH  4   NT  Eb'         47/96   voff=0
BA   17   CR     3+1/2   TR  2   CH  2   NT  D-        1+47/96   voff=0
BA   17   CR     3+1/2   TR  2   CH  2   NT  G--       1+47/96   voff=0
BA   17   CR     3+1/2   TR  2   CH  2   NT  D--       1+47/96   voff=0
BA   17   CR     3+1/2   TR  7   CH  4   NT  D'          47/96   voff=0

BA   18   CR         0   TR  7   CH  4   NT  G         2+47/96   voff=0
BA   18   CR         1   TR  2   CH  2   NT  Eb--      2+95/96   voff=0
BA   18   CR         1   TR  2   CH  2   NT  G#--      2+95/96   voff=0
BA   18   CR         1   TR  2   CH  2   NT  C#-       2+95/96   voff=0
BA   18   CR     2+1/2   TR  7   CH  4   NT  C'          47/96   voff=0
BA   18   CR         3   TR  7   CH  4   NT  D'          47/96   voff=0
BA   18   CR     3+1/2   TR  7   CH  4   NT  Bb          47/96   voff=0
BA   18   CR   3+23/24   TR  7   CH  4   NT  Bb           1/32   voff=0

BA   19   CR         0   TR  5   CH  5   NT  B-          1+1/8   von=80   voff=0
BA   19   CR         0   TR  8   CH  1   NT  E---      1+47/96   voff=0
BA   19   CR     43/48   TR  5   CH  5   NT  C#          47/96   voff=0
BA   19   CR         1   TR  5   CH  5   NT  D           95/96   voff=0
BA   19   CR     1+1/2   TR  2   CH  2   NT  E-        1+47/96   voff=0
BA   19   CR     1+1/2   TR  2   CH  2   NT  A--       1+47/96   voff=0
BA   19   CR     1+1/2   TR  2   CH  2   NT  E--       1+47/96   voff=0
BA   19   CR         2   TR  5   CH  5   NT  F           47/96   voff=0
BA   19   CR     2+1/2   TR  5   CH  5   NT  E           47/96   voff=0
BA   19   CR         3   TR  2   CH  2   NT  F--       2+95/96   voff=0
BA   19   CR         3   TR  2   CH  2   NT  G#--      2+95/96   voff=0
BA   19   CR         3   TR  2   CH  2   NT  Eb-       2+95/96   voff=0
BA   19   CR         3   TR  5   CH  5   NT  C#          95/96   voff=0
BA   19   CR   3+29/32   TR  5   CH  5   NT  B-          47/96   voff=0

BA   20   CR         1   TR  5   CH  5   NT  C#          95/96   voff=0
BA   20   CR   1+73/96   TR  5   CH  5   NT  Bb-         47/96   voff=0
BA   20   CR         2   TR  5   CH  5   NT  A-        2+95/96   voff=0
BA   20   CR         2   TR  8   CH  1   NT  E---      1+47/96   voff=0
BA   20   CR     3+1/2   TR  2   CH  2   NT  E--       1+47/96   voff=0
BA   20   CR     3+1/2   TR  2   CH  2   NT  A--       1+47/96   voff=0
BA   20   CR     3+1/2   TR  2   CH  2   NT  E-        1+47/96   voff=0

BA   21   CR         1   TR  2   CH  2   NT  F--       2+47/96   voff=0
BA   21   CR         1   TR  2   CH  2   NT  Bb--      2+47/96   voff=0
