format=1 tracks=6 division=256

BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &02
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  5   CH  4   ST &B3 &26 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &01
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  5   CH  4   ST &B3 &26 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &01
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  5   CH  4   Instrument 2
BA    1   CR         0   TR  5   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  5   CH  4   ST &E3 &00 &40
BA    1   CR     1/256   TR  0   CH 16   End of track
BA    1   CR       1/2   TR  2   CH  2   Channel volume 103
BA    1   CR       1/2   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR       1/2   TR  2   CH  2   ST &B1 &5B &00
BA    1   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    1   CR     1+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    1   CR     1+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0
BA    1   CR         2   TR  2   CH  2   NT  G---          1/2   voff=0
BA    1   CR     2+1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    1   CR     3+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    1   CR     3+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0

BA    2   CR         0   TR  2   CH  2   NT  G---          1/2   voff=0
BA    2   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    2   CR     1+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    2   CR     1+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0
BA    2   CR         2   TR  2   CH  2   NT  G---          1/2   voff=0
BA    2   CR     2+1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    2   CR     3+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    2   CR     3+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0

BA    3   CR         0   TR  2   CH  2   NT  G---          1/2   voff=0
BA    3   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    3   CR     1+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    3   CR     1+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0
BA    3   CR         2   TR  2   CH  2   NT  G---          1/2   voff=0
BA    3   CR     2+1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    3   CR     3+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    3   CR     3+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0

BA    4   CR         0   TR  2   CH  2   NT  G---          1/2   voff=0
BA    4   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    4   CR     1+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    4   CR     1+3/4   TR  2   CH  2   NT  E---          1/4   voff=0
BA    4   CR         2   TR  1   CH 10   NT  B--           1/2   von=95   voff=0
BA    4   CR         2   TR  2   CH  2   NT  D---          1/2   voff=0
BA    4   CR     2+1/2   TR  2   CH  2   NT  D--           1/4   voff=0
BA    4   CR         3   TR  1   CH 10   NT  E--           1/2   voff=0
BA    4   CR         3   TR  2   CH  2   NT  Eb---         1/2   voff=0
BA    4   CR     3+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    4   CR     3+1/2   TR  2   CH  2   NT  Eb--          1/4   voff=0

BA    5   CR         0   TR  1   CH 10   NT  C#-           1/2   voff=0
BA    5   CR         0   TR  1   CH 10   NT  C--           1/2   voff=0
BA    5   CR         0   TR  2   CH  2   NT  G---          1/2   voff=0
BA    5   CR         0   TR  5   CH  4   NT  B               4   von=95   voff=0
BA    5   CR         0   TR  5   CH  4   NT  D'              4   voff=0
BA    5   CR         0   TR  5   CH  4   NT  F#'             4   voff=0
BA    5   CR       1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    5   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    5   CR         1   TR  1   CH 10   NT  E--           1/2   voff=0
BA    5   CR     1+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    5   CR     1+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    5   CR     1+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0
BA    5   CR         2   TR  1   CH 10   NT  C--           1/2   voff=0
BA    5   CR         2   TR  2   CH  2   NT  G---          1/2   voff=0
BA    5   CR     2+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    5   CR     2+1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    5   CR         3   TR  1   CH 10   NT  E--           1/2   voff=0
BA    5   CR     3+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    5   CR     3+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    5   CR     3+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0

BA    6   CR         0   TR  1   CH 10   NT  C--           1/2   voff=0
BA    6   CR         0   TR  2   CH  2   NT  G---          1/2   voff=0
BA    6   CR         0   TR  5   CH  4   NT  B               4   von=63   voff=0
BA    6   CR         0   TR  5   CH  4   NT  E'              4   von=95   voff=0
BA    6   CR         0   TR  5   CH  4   NT  F#'             4   von=63   voff=0
BA    6   CR       1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    6   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    6   CR         1   TR  1   CH 10   NT  E--           1/2   voff=0
BA    6   CR     1+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    6   CR     1+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    6   CR     1+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0
BA    6   CR         2   TR  1   CH 10   NT  C--           1/2   voff=0
BA    6   CR         2   TR  2   CH  2   NT  G---          1/2   voff=0
BA    6   CR     2+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    6   CR     2+1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    6   CR         3   TR  1   CH 10   NT  E--           1/2   voff=0
BA    6   CR     3+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    6   CR     3+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    6   CR     3+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0

BA    7   CR         0   TR  1   CH 10   NT  C--           1/2   voff=0
BA    7   CR         0   TR  2   CH  2   NT  G---          1/2   voff=0
BA    7   CR         0   TR  5   CH  4   NT  B               4   voff=0
BA    7   CR         0   TR  5   CH  4   NT  F#'             4   voff=0
BA    7   CR         0   TR  5   CH  4   NT  A'              4   von=95   voff=0
BA    7   CR       1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    7   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    7   CR         1   TR  1   CH 10   NT  E--           1/2   voff=0
BA    7   CR     1+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    7   CR     1+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    7   CR     1+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0
BA    7   CR         2   TR  1   CH 10   NT  C--           1/2   voff=0
BA    7   CR         2   TR  2   CH  2   NT  G---          1/2   voff=0
BA    7   CR     2+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    7   CR     2+1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    7   CR         3   TR  1   CH 10   NT  E--           1/2   voff=0
BA    7   CR     3+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    7   CR     3+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    7   CR     3+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0

BA    8   CR         0   TR  1   CH 10   NT  C--           1/2   voff=0
BA    8   CR         0   TR  2   CH  2   NT  G---          1/2   voff=0
BA    8   CR         0   TR  5   CH  4   NT  C'              4   voff=0
BA    8   CR         0   TR  5   CH  4   NT  Eb'             4   voff=0
BA    8   CR         0   TR  5   CH  4   NT  F'              4   voff=0
BA    8   CR       1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    8   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    8   CR         1   TR  1   CH 10   NT  E--           1/2   voff=0
BA    8   CR     1+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    8   CR     1+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    8   CR     1+3/4   TR  2   CH  2   NT  E---          1/4   voff=0
BA    8   CR         2   TR  1   CH 10   NT  C--           1/2   voff=0
BA    8   CR         2   TR  2   CH  2   NT  D---          1/2   voff=0
BA    8   CR     2+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    8   CR     2+1/2   TR  2   CH  2   NT  D--           1/4   voff=0
BA    8   CR         3   TR  1   CH 10   NT  E--           1/2   voff=0
BA    8   CR         3   TR  2   CH  2   NT  Eb---         1/2   voff=0
BA    8   CR     3+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    8   CR     3+1/2   TR  2   CH  2   NT  Eb--          1/4   voff=0
BA    8   CR     3+1/2   TR  3   CH  1   NT  B             1/2   von=95   voff=0

BA    9   CR         0   TR  1   CH 10   NT  C#-           1/2   voff=0
BA    9   CR         0   TR  1   CH 10   NT  C--           1/2   voff=0
BA    9   CR         0   TR  2   CH  2   NT  G---          1/2   voff=0
