format=1 tracks=5 division=480

BA    6   CR     1+1/2   TR  4   CH 10   NT  C--           1/2   voff=80
BA    6   CR         2   TR  1   CH  1   NT  D'              2   voff=80
BA    6   CR         2   TR  4   CH 10   NT  F#--            1   voff=80
BA    6   CR         2   TR  4   CH 10   NT  D--             1   voff=80
BA    6   CR         3   TR  4   CH 10   NT  D--           1/4   voff=80
BA    6   CR     3+1/4   TR  4   CH 10   NT  D--           1/4   voff=80
BA    6   CR     3+1/2   TR  4   CH 10   NT  D--           1/4   voff=80
BA    6   CR     3+3/4   TR  4   CH 10   NT  C--           1/4   voff=80

BA    7   CR         0   TR  1   CH  2   NT  C'              8   voff=80
BA    7   CR         0   TR  1   CH  2   ST &E1 &00 &40
BA    7   CR         0   TR  3   CH  3   NT  D-           3/16   von=76   voff=80
BA    7   CR         0   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR         0   TR  4   CH 10   NT  A-            1/4   voff=80
BA    7   CR         0   TR  4   CH 10   NT  D--           1/4   voff=80
BA    7   CR         0   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR       1/4   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR       1/4   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR       1/4   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR       1/3   TR  1   CH  2   ST &E1 &00 &41
BA    7   CR       1/2   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR       1/2   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR       1/2   TR  4   CH 10   NT  B--           1/4   voff=80
BA    7   CR       1/2   TR  4   CH 10   NT  A--           1/4   voff=80
BA    7   CR       1/2   TR  4   CH 10   NT  G--           1/4   voff=80
BA    7   CR       1/2   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR     11/15   TR  1   CH  2   ST &E1 &00 &42
BA    7   CR       3/4   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR       3/4   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR       3/4   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR     13/15   TR  1   CH  2   ST &E1 &00 &43
BA    7   CR         1   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR         1   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR         1   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR    1+1/30   TR  1   CH  2   ST &E1 &00 &44
BA    7   CR     1+1/6   TR  1   CH  2   ST &E1 &00 &45
BA    7   CR     1+1/4   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR     1+1/4   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR     1+1/4   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR    1+4/15   TR  1   CH  2   ST &E1 &00 &46
BA    7   CR     1+2/5   TR  1   CH  2   ST &E1 &00 &47
BA    7   CR     1+1/2   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR     1+1/2   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR     1+1/2   TR  4   CH 10   NT  B--           1/4   voff=80
