format=1 tracks=15 division=96

BA    1   CR         0   TR 11   CH 12   Instrument 82
BA    1   CR         0   TR 11   CH 12   Channel volume 51
BA    1   CR         0   TR 11   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 11   CH 12   ST &BB &0A &60
BA    1   CR         0   TR 11   CH 12   Channel volume 51
BA    1   CR         0   TR 11   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 11   CH 12   Instrument 82
BA    1   CR         0   TR 11   CH 12   Channel volume 51
BA    1   CR         0   TR 12   CH 16   Text type 3: "Synth Drum"
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 12   CH 14   Channel volume 100
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 12   CH 14   Channel volume 100
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   Instrument 119
BA    1   CR         0   TR 12   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 12   CH 14   Channel volume 100
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   Instrument 119
BA    1   CR         0   TR 12   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 12   CH 14   Channel volume 100
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   Instrument 119
BA    1   CR         0   TR 13   CH 16   Text type 3: "Synth Bass 1"
BA    1   CR         0   TR 13   CH 15   ST &BE &0A &53
BA    1   CR         0   TR 13   CH 15   Channel volume 84
BA    1   CR         0   TR 13   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 13   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 13   CH 15   ST &BE &64 &00
BA    1   CR         0   TR 13   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR 13   CH 15   ST &BE &0A &53
BA    1   CR         0   TR 13   CH 15   Channel volume 84
BA    1   CR         0   TR 13   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 13   CH 15   Instrument 39
BA    1   CR         0   TR 13   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 13   CH 15   ST &BE &64 &00
BA    1   CR         0   TR 13   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR 13   CH 15   ST &BE &0A &53
BA    1   CR         0   TR 13   CH 15   Channel volume 84
BA    1   CR         0   TR 13   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 13   CH 15   Instrument 39
BA    1   CR         0   TR 13   CH 15   Channel volume 84
BA    1   CR         0   TR 13   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 13   CH 15   ST &BE &64 &00
BA    1   CR         0   TR 13   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR 13   CH 15   ST &BE &0A &53
BA    1   CR         0   TR 13   CH 15   Channel volume 84
BA    1   CR         0   TR 13   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 13   CH 15   Instrument 39
BA    1   CR         0   TR 13   CH 15   Channel volume 84
BA    1   CR         0   TR 13   CH 15   NT  C-          47/96   von=96   voff=0
BA    1   CR         0   TR 13   CH 15   NT  C--         47/96   voff=0
BA    1   CR         0   TR 14   CH 16   Text type 3: "Slap Bass 1"
BA    1   CR         0   TR 14   CH 16   ST &BF &0A &2D
BA    1   CR         0   TR 14   CH 16   Channel volume 90
