format=1 tracks=8 division=192

BA    5   CR     3+1/2   TR  3   CH  3   NT  E-            1/4   voff=0
BA    5   CR     3+1/2   TR  4   CH  4   NT  E-            1/4   voff=0
BA    5   CR     3+1/2   TR  5   CH  5   NT  B               2   voff=0
BA    5   CR     3+1/2   TR  5   CH  5   ST &E4 &00 &02
BA    5   CR     3+1/2   TR  7   CH 10   NT  Bb--          1/4   voff=0
BA    5   CR    3+9/16   TR  1   CH  1   ST &E0 &00 &07
BA    5   CR    3+9/16   TR  5   CH  5   ST &E4 &00 &07
BA    5   CR     3+5/8   TR  1   CH  1   ST &E0 &00 &17
BA    5   CR     3+5/8   TR  5   CH  5   ST &E4 &00 &17
BA    5   CR   3+11/16   TR  1   CH  1   ST &E0 &00 &2A
BA    5   CR   3+11/16   TR  5   CH  5   ST &E4 &00 &2A
BA    5   CR   3+35/48   TR  1   CH  1   ST &E0 &00 &44
BA    5   CR   3+35/48   TR  5   CH  5   ST &E4 &00 &44
BA    5   CR     3+3/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    5   CR     3+3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    5   CR     3+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0

BA    6   CR         0   TR  2   CH  2   NT  A--           1/2   voff=0
BA    6   CR         0   TR  3   CH  3   NT  E-            1/4   voff=0
BA    6   CR         0   TR  4   CH  4   NT  E-            1/4   voff=0
BA    6   CR         0   TR  7   CH 10   NT  B---          1/4   voff=0
BA    6   CR       1/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    6   CR       1/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    6   CR       1/2   TR  1   CH  1   ST &B0 &01 &7F
BA    6   CR       1/2   TR  2   CH  2   NT  A--           1/4   voff=0
BA    6   CR       1/2   TR  3   CH  3   NT  E-            1/4   voff=0
BA    6   CR       1/2   TR  4   CH  4   NT  E-            1/4   voff=0
BA    6   CR       1/2   TR  5   CH  5   ST &B4 &01 &7F
BA    6   CR       1/2   TR  7   CH 10   NT  Bb--          1/4   voff=0
BA    6   CR       3/4   TR  2   CH  2   NT  A--           1/4   voff=0
BA    6   CR       3/4   TR  3   CH  3   NT  A-            1/4   voff=0
