format=1 tracks=11 division=96

BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 66
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 1
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 66
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 1
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 66
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 1
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 66
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 1
BA    1   CR       1/2   TR  2   CH  1   NT  A-          1+1/2
BA    1   CR       3/4   TR  2   CH  1   NT  F#          1+1/4
BA    1   CR         2   TR  2   CH  1   NT  A-            1/4
BA    1   CR     2+1/4   TR  2   CH  1   NT  D-          2+1/4
BA    1   CR     2+1/4   TR 10   CH 10   NT  Bb'           1/4   von=127
BA    1   CR     2+3/4   TR  2   CH  1   NT  A-          1+3/4
BA    1   CR         3   TR  2   CH  1   NT  F#            1/2
BA    1   CR         3   TR 10   CH 10   NT  Bb'           1/4
BA    1   CR     3+1/2   TR  2   CH  1   NT  D             1/4
BA    1   CR     3+1/2   TR 10   CH 10   NT  Bb'           1/4   von=62
BA    1   CR     3+3/4   TR  2   CH  1   NT  F#            3/4
BA    1   CR     3+3/4   TR  3   CH  2   NT  A--           3/4   von=127
BA    1   CR     3+3/4   TR  5   CH  4   NT  A-            1/4   von=100
BA    1   CR     3+3/4   TR 10   CH 10   NT  Bb'           1/4   von=127

BA    2   CR         0   TR  5   CH  4   NT  D             1/4
BA    2   CR       1/4   TR  5   CH  4   NT  E             1/4
BA    2   CR       1/2   TR  2   CH  1   NT  D-          2+1/4
BA    2   CR       1/2   TR  3   CH  2   NT  D--             2
BA    2   CR       1/2   TR  5   CH  4   NT  F#            3/4
BA    2   CR       1/2   TR  7   CH  6   NT  D-          4+1/2   von=127
BA    2   CR       1/2   TR  7   CH  6   NT  F#-         4+1/2
