format=1 tracks=9 division=96

BA    3   CR         2   TR  3   CH  3   NT  G#-         23/96   von=64   voff=0
BA    3   CR         2   TR  3   CH  3   NT  C#          23/96   voff=0
BA    3   CR         2   TR  3   CH  3   NT  G#-         23/96   voff=0
BA    3   CR         2   TR  4   CH  4   NT  G#-         23/96   von=64   voff=0
BA    3   CR         2   TR  4   CH  4   NT  C#          23/96   voff=0
BA    3   CR         2   TR  4   CH  4   NT  G#-         23/96   voff=0
BA    3   CR         2   TR  7   CH 10   NT  C--         95/96   voff=0
BA    3   CR         2   TR  7   CH 10   NT  A--         95/96   voff=0
BA    3   CR     2+1/4   TR  3   CH  3   NT  G#-         23/96   von=32   voff=0
BA    3   CR     2+1/4   TR  3   CH  3   NT  C#          23/96   voff=0
BA    3   CR     2+1/4   TR  3   CH  3   NT  G#-         23/96   voff=0
BA    3   CR     2+1/4   TR  4   CH  4   NT  G#-         23/96   von=32   voff=0
BA    3   CR     2+1/4   TR  4   CH  4   NT  C#          23/96   voff=0
BA    3   CR     2+1/4   TR  4   CH  4   NT  G#-         23/96   voff=0
BA    3   CR     2+1/2   TR  3   CH  3   NT  B--         47/96   von=104   voff=0
BA    3   CR     2+1/2   TR  3   CH  3   NT  E-          47/96   voff=0
